ID;Ressources;XP;last_maj
27413;Eau Ferrugineuse;1.0;2026-03-03T07:24
19234;Cendres de Chause;16.0;2026-03-03T07:24
19236;Restes d'Esprigné;16.0;2026-03-03T07:24
27434;Armure de Blindur;12.0;2026-03-03T07:24
27435;Bave de Marthos;12.0;2026-03-03T07:24
27436;Mèche de Serpyn;12.0;2026-03-03T07:24
27437;Fronde de Boufronde;12.0;2026-03-03T07:24
27438;Élastique de barbe de Sanglirok;12.0;2026-03-03T07:24
19406;Chair de Zombruth;16.0;2026-03-03T07:24
19407;Pointe de Lance de Tournoyé;16.0;2026-03-03T07:24
19410;Bout d'Armure de Macrab;16.0;2026-03-03T07:24
11221;Laine du Royalmouth;12.0;2026-03-03T07:24
11228;Arête géante du Shamansot;19.5;2026-03-03T07:24
11229;Poil de barbe du Shamansot;3.0;2026-03-03T07:24
11231;Oreille du Fu Mansot;20.0;2026-03-03T07:24
11249;Étoffe de Kaniglou;20.0;2026-03-03T07:24
11252;Patte de Rat Bougri;5.0;2026-03-03T07:24
11253;Étoffe de Rat Bougri;1.0;2026-03-03T07:24
11256;Bec de Gélikan;5.0;2026-03-03T07:24
11310;Corde du Fancrôme;24.5;2026-03-03T07:24
11313;Huile de Fantimonier;24.0;2026-03-03T07:24
11317;Coquille de Harpirate;24.0;2026-03-03T07:24
11324;Téphra d'Atomystique;34.0;2026-03-03T07:24
11325;Résidu de Solfataré;5.0;2026-03-03T07:24
3209;Scalp de Bizarbwork;6.0;2026-03-03T07:24
11497;Huile de Frostiz;1.0;2026-03-03T07:24
11695;Carniflore;2.0;2026-03-03T07:24
11696;Cagoule du Kanniboul Ebil;13.0;2026-03-03T07:24
19970;Armure de Tanklume;16.0;2026-03-03T07:24
11798;Clef du Village Kanniboul;7.0;2026-03-03T07:24
11799;Clef de la Maison Fantôme;2.0;2026-03-03T07:24
11882;Queue de Yomi Givrefoux;40.0;2026-03-03T07:24
11890;Volve de Fongeur;8.5;2026-03-03T07:24
11891;Écorce d'Abrazif;8.5;2026-03-03T07:24
11928;Oreille de Blérice;67.0;2026-03-03T07:24
11929;Queue de Blérom;67.0;2026-03-03T07:24
25179;Groin de Porkzebuth;20.0;2026-03-03T07:24
25180;Aile d'Eninferno;20.0;2026-03-03T07:24
12015;Bec du Kwakwa;9.0;2026-03-03T07:24
12016;Plume du Kwakwa;1.0;2026-03-03T07:24
12076;Duvet de Nelween;3.0;2026-03-03T07:24
15461;Bandelette de Tromblion;3.0;2026-03-03T07:24
12375;Fragment du Gorgouille;4.0;2026-03-03T07:24
12434;Poudre Mature;3.0;2026-03-03T07:24
12448;Jaune d'Œuf de Krokille;1.0;2026-03-03T07:24
12467;Épine Dorsale de Grozilla;23.0;2026-03-03T07:24
17158;Viande Noire;12.72;2026-03-03T07:24
20815;Éclat du Mawabouaino;2.0;2026-03-03T07:24
20820;Pompon Brunâtre;2.0;2026-03-03T07:24
20912;Diadème de Chocoligarque;16.0;2026-03-03T07:24
20918;Clef de la Fonderie des Waddicts;6.0;2026-03-03T07:24
20939;Cœur du Croqueleur;15.0;2026-03-03T07:24
20940;Oreille de Kakoalak;3.0;2026-03-03T07:24
20941;Pépite croquée;17.0;2026-03-03T07:24
20942;Estomac de Mansocolat;3.0;2026-03-03T07:24
20943;Pelage chocolaté;3.0;2026-03-03T07:24
20944;Enrobage de Chocoskargo;3.0;2026-03-03T07:24
20945;Bec de Kwakao;3.0;2026-03-03T07:24
21208;Langue de Kashkaille;16.0;2026-03-03T07:24
21210;Poupée de Caïguille;16.0;2026-03-03T07:24
21264;Étoffe de Draegnerys;3.0;2026-03-03T07:24
21268;Dent du Kharnozor;7.0;2026-03-03T07:24
21513;Essence de Draegnerys;18.0;2026-03-03T07:24
13335;Rouflaquettes d'Halouine;7.0;2026-03-03T07:24
13340;Pustule de Rat Sio;1.0;2026-03-03T07:24
13492;Short de Capoei Rat;1.0;2026-03-03T07:24
13493;Queue de Rat du Gang;4.0;2026-03-03T07:24
13497;Ruban d'Uchiwang;3.0;2026-03-03T07:24
