Ressources;XP
Bourgeon d'Abraknyde Ancestral;26,156
Bourgeon d'Abraknyde Sombre Irascible;1,977
Bourgeon de Fourbasse;1,591
Bourgeon de Pirolienne;1,012
Bourgeon explosif de Damadrya;6,702
Bourse Suspecte;0,243
Bout d'Armure de Macrab;16,875
Bout de Blop Coco;0,116
Bout de Blop Griotte;0,116
Bout de Blop Indigo;0,116
Bout de Blop Reinette;0,116
Bouteille de Bouchonnois;75
Bracelet de Force de Trooll;13,096
Bracelet de Ino-Naru;3,722
Bractée de Chiendent;3,271
Bractée de Drosérâle;16,875
Braguette de Nileza;506,25
Braguette du Maître Zoth;16,482
Braise de Tofutoflamme;8,856
Braises bleutées;38,684
Branche de Tiwabbit Kiafin;0,249
Breuvage Musculaire;5,36
Brochet;0,12
Brochette de Laikteur;17,201
Brochet Tupe-Halett;12
Broderie de la Prêtresse de Kao;84,375
Broderie de la Reine des Voleurs;84,375
Broderie de Malléfisk;7,292
Broderie de Nileza;84,375
Broderie d'Eskoglyphe;101,25
Bronze;0,07
Brûlâme encapsulé;101,25
Bulbe Kouraçao;0,245
Bulbe Malibout;0,245
Bulbe Morito;0,245
Bulbe Passaoh;0,245
Bwak Squelettique;33,385
Cachet du bizut;0,125
Cagoule du Kanniboul Ebil;13,416
Calcanéus de Meliglours;75
Caleçon Blanc;54,798
Caleçon Bleu;54,798
Caleçon Brun;54,798
Caleçon de Cybwork;57,29
Caleçon Mignon du Pirate;1,103
Caleçon Rouge;54,798
Calice de Fécorce;3,418
Calumet Zoth;3,222
Canif Rouillé;1,103
Canine de Cronnibal;16,875
Canine de Félygiène;32,548
Canine de Gobelin;0,444
Canine de Kanimate;16,875
Canine de Krakal;16,875
Canine de Mergranlou;1,349
Canine tranchante;16,875
Canine Vampiresque;0,117
Capsule Explosive;0,254
Capuche d'Armécréante;16,875
Capuche de Skentu;16,875
Carapace Bleue;0,313
Carapace circonflexe de Rokoram;30
Carapace circonflexe d'Imorok;30
Carapace de Krabouilleur;16,875
Carapace de Scaratos;1,467
Carapace de Termystique;101,25
Carapace de Ver des Sables;47,559
Carapace du Mantiscore;4,207
Carapace Jaune;0,313
Carapace Rouge;0,313
Carapace Verte;0,313
Carapace vide de Crabe;1,627
Carniflore;2,228
Carpe d'Iem;0,1
Carpelle de Brouture;3,368
Carpette des sables;10
Casque cassé de Bwork;2,344
Casque Cassé du Chafer;0,788
Casque de Martoa;0,111
Casque de Statulipe;16,875
Casque de Wobot;0,841
Casque du Chafer Primitif;0,463
Cawotte;1,106
Cawotte Transgénique;14,327
Cédille de Tsunam;30
Cédille d'Imetsu;30
Ceinture de la Dame;16,875
Cendres de Chause;16,875
Cendres de Tofutoflamme;1,483
Cendres Éternelles;0,043
Cendres Juvéniles;0,11
Cendres Matures;2,986
Cendres Novices;0,957
Cendres Vénérables;11,971
Cervelle de Bouftou des Cavernes;31,342
Cervelle de Peunch;101,25
Cervelle de Solar;62,953
Cervelle de Verglasseur;101,25
Chaîne de Panthègros;5,504
Chaîne de Robot Fléau;0,395
Chaînes Brisées;0,26
Chair de Zombruth;16,875
Champignon;0,565
Champignon Luidegît;1,037
Chanvre;0,2
Chanvre Euphorique;20
Charbon;0,656
Charnière Cassée;0,404
Chaton-Perche;17
Chaudron de Températurge;16,875
Chaussette du Cyclophandre;101,25
Chaussette du Kimbo;179,258
Chaussette trouée de Dramak;7,292
Chauve-souris;0,998
Chélicères d'Arapex;1,039
Cheveux d'Alhyène;5,645
Cheveux de Draegnerys;18,646
Cheveux de Tal Kasha;84,375
Chicot du Flib;0,494
Chicots d'Halouine;43,46
Chope de Bière;101,25
Chouchou de Doublure;17,868
Cire de Cire Momore;101,25
Cire de Gligli Améliorée;1,05
Citron;0,056
Clakoss;36,856
Clavicule de Boufmouth;11,901
Clef de la Bambusaie de Damadrya;29,603
Clef de la Bataille de l'Aurore Pourpre;298,509
Clef de la Bibliothèque du Maître Corbac;25,272
Clef de la Brasserie du roi Dazak;254,724
Clef de la Cache de Kankreblath;3,366
Clef de la Canopée du Kimbo;87,707
Clef de la Cave du Toxoliath;123,986
Clef de la Caverne d'El Piko;47,114
Clef de la Caverne de Nowel;159,939
Clef de la Caverne du Koulosse;16,039
Clef de la Chambre des maléfices;298,509
Clef de la Chambre de Tal Kasha;298,509
Clef de la Clairière du Chêne Mou;54,342
Clef de la Cour du Bouftou Royal;2,254
Clef de la Croquanterie;47,114
Clef de la Crypte de Kardorim;0,525
Clef de la Demeure des Esprits;120,659
Clef de la Fabrique de foux d'artifice;57,826
Clef de la Fabrique de Malléfisk;18,85
Clef de la Fonderie des Waddicts;6,522
Clef de la Forgefroide de Missiz Frizz;254,724
Clef de la Galerie du Phossile;59,63
Clef de la Grotte de Kanigroula;86,699
Clef de la Grotte du Bworker;141,132
Clef de la Grotte Hesque;4,706
Clef de l'Akadémie des Gobs;3,724
Clef de la Maison du Papa Nowel;286,511
Clef de la Maison Fantôme;2,887
Clef de la Mémoire d'Orukam;416,451
Clef de la mine de Sakaï;183,117
Clef de l'Antichambre des Gloursons;219,528
Clef de l'Antre de Crocabulia;30,664
Clef de l'Antre de la Reine Nyée;17,275
Clef de l'antre du Blop Multicolore;10,35
Clef de l'antre du Dragon Cochon;27,41
Clef de l'Antre du Korriandre;135,044
Clef de la Pyramide d'Ombre;210,276
Clef de l'Aquadôme de Merkator;254,724
Clef de l'Arbre de Moon;18,748
Clef de l'Arbre de Mort;255,129
Clef de l'Arche d'Otomaï;7,761
Clef de la salle du Minotot;59,35
Clef de la Sentence de la Balance;254,724
Clef de la serre du Royalmouth;32,878
Clef de la Sousouricière du Rat Noir;30,394
Clef de la Tanière du Meulou;21,131
Clef de la Tanière Givrefoux;110,238
Clef de l'Atelier du Tanukouï San;42,614
Clef de la Tempête de l'Eliocalypse;254,724
Clef de la Tombe du Shogun Tofugawa;91,416
Clef de la Tour de Bethel;298,509
Clef de la Tour de Solar;303,111
Clef de la Vallée de la Dame des eaux;47,114
Clef de la Volière de la Haute Truche;40,938
Clef de l'Épreuve de Draegnerys;10,839
Clef de l'Horologium de XLII;113,781
Clef de l'hypogée de l'Obsidiantre;76,645
Clef de l'Œil de Vortex;244,215
Clef des cavernes du Kolosso;207,078
Clef des Champs;1,406
Clef des Fers de la Tyrannie;254,724
Clef des Pitons Rocheux des Craqueleurs;9,414
Clef des Salons privés de Klime;254,724
Clef du Bastion des Marteaux-Aigris;187,753
Clef du Bateau du Chouque;18,038
Clef du Belvédère d'Ilyzaelle;298,509
Clef du Boyau du Père Ver;121,948
Clef du Camp du Comte Razof;187,753
Clef du caveau du Prince Djamal;41,41
Clef du caveau du Roi Léorictus;125,801
Clef du Chapiteau des Magik Riktus;16,955
Clef du Château du Wa Wabbit;20,688
Clef du Château Ensablé;1,78
Clef du Cimetière des mastodontes;13,87
Clef du Clos des Blops;3,628
Clef du Défi du Chalœil;204,12
Clef du Dojo du vent;57,826
Clef du Domaine Ancestral;13,044
Clef du Donjon de Nowel;13,541
Clef du Donjon des Bworks;4,312
Clef du Donjon des Forgerons;4,635
Clef du Donjon des Scarafeuilles;3,817
Clef du Donjon des Squelettes;3,89
Clef du Donjon des Tofus;3,366
Clef du Donjon du Comte Harebourg;254,724
Clef du Garde-manger du Rat Blanc;25,087
Clef du Goulet du Rasboul;26,257
Clef du Grolandais violent;80,923
Clef du Laboratoire de Brumen Tinctorias;9,883
Clef du Laboratoire de Nileza;254,724
Clef du Laboratoire du Tynril;63,79
Clef du labyrinthe du Dragon Cochon;20,068
Clef du Labyrinthe du Minotoror;27,782
Clef du Manoir des Katrepat;298,509
Clef du Mégalithe de Fraktale;36,136
Clef du Miausolée du Pounicheur;24,065
Clef du Nid du Kwakwa;4,815
Clef du Palais de Dantinéa;232,692
Clef du Palais du roi Nidas;206,693
Clef du Plateau de Ush;73,162
Clef du Potager d'Halouine;10,348
Clef du Refuge sylvestre;5,763
Clef du Repaire de Skeunk;30,945
Clef du Repaire de Sphincter Cell;28,771
Clef du Repaire du Kharnozor;21,816
Clef du Ring du Capitaine Ekarlatte;47,198
Clef du Rituel de Kabahal;339,009
Clef du Sanctuaire de Torkélonia;298,509
Clef du Souvenir d'Imagiro;405,801
Clef du Temple de Koutoulou;226,875
Clef du Temple du dieu Kao;298,509
Clef du Temple du Grand Ougah;705,765
Clef du Temple Maudit;33,265
Clef du Terrier du Wa Wabbit;8,117
Clef du Tertre du long sommeil;74,716
Clef du Théâtre de Dramak;21,134
Clef du Transporteur de Sylargh;254,724
Clef du Trône de la Cour Sombre;209,671
Clef du Trône de Sang;254,724
Clef du Vaisseau du Capitaine Meno;226,875
Clef du Ventre de la Baleine;254,724
Clef du Village Kanniboul;7,586
Clef Mansot;49,065
Clef Secrète du Tofulailler Royal;19,245
Cloaque du Poolay;5,227
Cloche de Barbéryl Clochecuivre;61
Coccyx du Corailleur;0,254
Coco du Bitouf aérien;32,423
Coco du Bitouf des Plaines;9,779
Coco du Bitouf Sombre;21,784
Cocon de Ver à Soie;1,064
Coeur de Boue du Boo;0,692
Coeur de Brandon;9,674
Coeur de Buveur;9,011
Coeur de Bworkcelhaine;0,079
Coeur de Cire Momore;337,5
Coeur de Crapeur;7,188
Coeur de Craqueleur;2,896
Coeur de Merkator;506,25
Coeur d'Empaillé;101,25
Coeur de pierre poli;9,531
Coeur du Capitaine Ekarlatte;15
Coeur du Croqueleur;15
Coeur du Mantiscore;25,219
Coeur Gelé;750
Coffre de Pièges à Chasseur;3,191
Coffre-forge;25,5
Coffret maudit du Flib;0,054
Coiffe déchiquetée de Drakoalak;7,627
Collier Cassé de Macien;3,354
Collier de Chakichan;5,932
Collier de Chak Rat;1,477
Collier d'esclave;103,404
Colonne Vertébrale;0,979
Concassé de brume;35,591
Concombre;3
Condyle de Fuji Givrefoux;375
Conque Marine;0,096
Copie de la clef du repaire des bandits;5,742
Coque Endommagée;0,395
Coquille de Dragoeuf Ardoise;0,628
Coquille de Dragoeuf Argile;0,628
Coquille de Dragoeuf Calcaire;0,678
Coquille de Dragoeuf Charbon;0,628
Coquille de Dragoss Ardoise;8,043
Coquille de Dragoss Argile;8,043
Coquille de Dragoss Charbon;8,043
Coquille de Dragoss Protéiforme;1,349
Coquille de Fantimonier;4,187
Coquille de Harpirate;24,876
Coquille de Krokille;36,648
Coquille de Submergé;101,25
Coquille de Virustine;16,875
Coquille du Kaskargo;34,011
Corail Kouraçao;0,236
Corail Magistral;9,328
Corail Malibout;0,236
Corail Morito;0,236
Corail Passaoh;0,236
Corail usé;1,515
Corbac Mort;9,217
Corde de Boursoin;1,458
Corde d'escalade;13,903
Corde du Fancrôme;24,876
Corne brisée de Crocabulia;48,884
Corne Brûlée du Minotoror;71,635
Corne de Berserkoffre;1,458
Corne de Boufmouth de guerre;2,104
Corne de Boufton;0,1
Corne de Buffalourd;0,313
Corne de Corruption;81,893
Corne de Déminoboule;8,856
Corne de Dragacé;1,832
Corne de Dragmatique;1,637
Corne de Dragoss Calcaire;8,043
Corne de Dragoss Protéiforme;8,043
Corne de Gamino;1,764
Corne de Gliglibido;26,476
Corne de Kamasterisk;17,868
Corne de Malbois;4,792
Corne de Méjaire;20,25
Corne de Mominotor;8,856
Corne de Père Phorreur;4,792
Corne de Rhinoféroce;8,043
Corne de Scaratos;8,809
Corne de Typhomet;16,875
Corne de XLII;38,684
Corne d'Ombre;61
Corne du Boufcoul;1,012
Cornée de Kami Givrefoux;40,278
Corps de Quintaine;1,2
Côtes de Désosseur;16,875
Côtes de Porkass;1,627
Côtes du Rib;0,183
Coton Ancestral;0,428
Couche usagée de Warko Violet;2,038
Courroie en cuir;2,38
Couteau de Roukouto;1,012
Crabe Sourimi;0,06
Crabe Sourimi Exotique;6
Crâne d'Aventurier;2,177
Crâne de Chafer;1,064
Crâne de Chef Crocodaille;3,779
Crâne de Kardorim;0,263
Crâne de Wabbit Squelette;2,054
Crâne de Yokaï Givrefoux;40,278
Crâne magique de Magouille;16,875
Crâne magique de Rate Atinée;1,919
Crème à bronzer;0,096
Crinière de Krakal;101,25
Crinière de Rat Blanc;7,326
Crinière de Rat Noir;10,678
Crinière de Scélérat Strubien;0,582
Crinière de Troollaraj;2,214
Crinière d'Orfélin;5,574
Crinière fleurie;9,052
Cristal;8,087
Croc de Dragoeuf Protecteur;10,605
Croc de Krokille;155,625
Croc de Trankilou;0,313
Crochet rouillé;72,5
Crocs de Rats;0,111
Croissant de Tsukinochi;5,932
Croquette enrichie;500
Croupion de Tofuzmo;8,809
Croupion de Truchmuche;2,611
Croupion du Bitouf aérien;5,365
Cubitus de Momie Koalak;2,038
Cuir de Boostache Prépubère;0,162
Cuir de Bouftonmouth;10,943
Cuir de Bouftou Noir;0,104
Cuir de Bouftou Royal;0,619
Cuir de Capsaaloocke;8,056
Cuir de Cuirboule;16,875
Cuir de Déminoboule;1,483
Cuir de Fuji Givrefoux;61
Cuir de Gargrouille;0,162
Cuir de Gliglibido;4,363
Cuir de Glouragan;12,2
Cuir de Grodruche;16,875
Cuir de Maho Givrefoux;40,278
Cuir d'Empaillé;16,875
Cuir de Ouassingue;0,176
Cuir de Peunch;16,875
Cuir de Porkass;0,272
Cuir de Porsalu;1,067
Cuir de Scélérat Strubien;0,111
Cuir d'Eskoglyphe;16,875
Cuir de Tengu Givrefoux;226,852
Cuir du Cochon de Lait;0,166
Cuir du Sanglacier;3
Cuir Onique;600
Cuir Violet de Mégabwork;6,13
Cuivre;0,05
Culotte à l'envers du Roissingue;97,29
Culotte de Frakacia;30
Culotte de Harrogant;101,25
Culotte de Missiz Frizz;506,25
Dard de Morfrelon;9,676
Daurade Royale;16
Dédicace de Skeunk pour Émeraude;2,304
Dé du Chalœil;84,375
Défense de Gliglicérin;4,363
Défense du Phossile;23,958
Défense du Sanglacier;17,828
Défense du Sanglier;0,102
Dent de Bandleth;16,875
Dent de Bourbassingue;1,529
Dent de Chakaroze;5,932
Dent de Crocodaille;0,272
Dent de Cuirboule;101,25
Dent de Cycloporth;7,737
Dent de Dragodinde;0,565
Dent de Fantômat;33,059
Dent de Gargantûl;1,039
Dent de Garglyphe;0,176
Dent de Klémort;16,875
Dent de Kwoan;0,974
Dent de Larve Champêtre;0,404
Dent de Larve Dorée;0,33
Dent de Larve Émeraude;0,282
Dent de Larve Rubis;0,302
Dent de Larve Saphir;0,263
Dent de Lévitrof;16,875
Dent de Molette;1,323
Dent de Shin Larve;9,328
Dent de Smilomouth;17,828
Dent de Tilamproie;16,875
Dent de Tofu Mutant;0,176
Dent de Trezz;9,284
Dent de Vatenbière;16,875
Dent de Wabbit;1,56
Dent de Waddict;0,36
Dent du Kharnozor;7,292
Dent en Or de Craqueleur;2,448
Dentier de Dantinéa;84,375
Dentier du Chafer d'Élite;1,627
Dents de Mulou;7,867
Dents de Wabbit Vampire;2,403
Deuxième clef du Donjon de Sphincter;5,75
Deuxième partie de la clef du labyrinthe du Dragon Cochon;6,53
Diacritique de la Reine Amirukam;144,643
Diacritique du Roi Imagami;144,643
Diadème de Belilith;20,25
Diadème de Chocoligarque;16,875
Diamant;3,176
Dissolvant Phosphorescent;97,065
Doigt de Branche Invocatrice;2,246
Dolomite;0,25
Dorade Grise;0,16
Duvet de Bourdard;2,367
Duvet de Mamansot;3,201
Duvet de Nelween;3,14
Duvet de Tofoune;1,064
Duvet de Truchon;2,404
Duvet du Kilibriss;1,664
Duvet du Maître Corbac;7,256
Eau calme;0,455
Eau de Kwapa;18,104
Eau Ferrugineuse;1,151
Eau Potable;0,047
Ebonite;2,25
Écaille de Chef Crocodaille;0,626
Écaille de Crocodaille;1,635
Écaille de Dragoss Ardoise;1,349
Écaille de Dragoss Argile;1,349
Écaille de Dragoss Calcaire;1,349
Écaille de Dragoss Charbon;1,349
Écaille de Gambaf;16,875
Écaille de Grasmera;7,292
Écaille de Grozilla;6,25
Écaille de Harpirate;4,187
Écaille de Torkélonia;84,375
Écaille poisseuse;0,507
Écailles d'Ouroboulos;0,862
Écharpe de Hanshi;18,611
Échasse de Molette;7,833
Éclat du Mawabouaino;2,228
Éclat Kao brisé;101,25
Éclat Obscur;30,5
Eclat temporel;375
Écorce d'Abrakne Sombre;1,039
Écorce d'Abraknyde Vénérable;5,227
Écorce d'Abrazif;8,647
Écorce de Brouture;20,3
Écorce de Champaknyde;8,747
Écorce de Chiendent;19,365
Écorce de Fécorce;20,784
Écorce de Floribonde;21,278
Écorce de Liroye Merline;5,112
Écorce de Nerbe;19,827
Écume de mer;10
Écusson du Sergent Zoth;16,056
Edelweiss;0,15
Edelweiss Marguerite;15
Élastique de barbe de Sanglirok;12,2
Élastique de Gobvious;7,627
Élixir de Brumen;100
Emballage Suspect;0,348
Émeraude;5,703
Encre de Poulpée;16,875
Encre du Kralamoure géant;278,159
Enfumoir Zoth;2,249
Engrais;0,434
Enrobage de Chocoskargo;3
Épaule de Maléphisto;16,875
Épaulière de Bourôliste;16,875
Épaulière de Bwork;0,328
Épaulière de Dazak Martegel;84,375
Épaulière de Ferrailleur;16,875
Épaulière de Kabushido;5,932
Épaulière de Troolligark;13,096
Épaulière Massive du K.O.;800
Épine d'Armuguet;16,875
Épine de Bulbuisson;1,853
Épine de Diondin;16,875
Épine de Grath;1,853
Épine Dorsale de Grozilla;23,958
Épine d'Ougah;48,382
Épine du Champ Champ;0,075
Épingle à Cheveux de Saphira;2,304
Espadon;0,26
Espadon Quichotte;305
Essence d'Anerice la Shushess;506,25
Essence de Barbéryl Clochecuivre;366
Essence de Batofu;6,176
Essence de Belladone;506,25
Essence de Ben le Ripate;357,24
Essence de Bethel Akarna;506,25
Essence de Boostache;14,217
Essence de Choudini;33,077
Essence de Corruption;491,36
Essence de Crocabulia;122,448
Essence de Damadrya;40,213
Essence de Dantinéa;506,25
Essence de Dazak Martegel;506,25
Essence de Draegnerys;46,807
Essence de Dramak;108,94
Essence de Founoroshi;111,667
Essence de Fraktale;72,097
Essence de Fuji Givrefoux;928,5
Essence de Gourlo le Terrible;46,807
Essence de Grolloum;928,5
Essence de Guerre;450
Essence de Kabahal;506,25
Essence de Kanigroula;446,842
Essence de Kankreblath;6,176
Essence de Kardorim;1,579
Essence de Koumiho;232,105
Essence de l'Abraknyde Ancestral;65,294
Essence de la Bworkette;20,806
Essence de la Gelée Royale;13,369
Essence de la Haute Truche;224,814
Essence de la Larve de Koutoulou;506,25
Essence de la Reine Amirukam;867,857
Essence de la Reine des Voleurs;506,25
Essence de la Reine Nyée;83,154
Essence de la Shin Larve;23,368
Essence de l'Éternel Conflit;506,25
Essence de l'Obsidiantre;446,842
Essence d'El Piko;224,814
Essence de Malléfisk;43,75
Essence de Meno;506,25
Essence de Misère;450
Essence de Mob l'Éponge;2,348
Essence de Moon;81,908
Essence de Nagate;86,519
Essence de Nelween;46,807
Essence de Rakoopeur;9,375
Essence de Servitude;450
Essence des Forgerons;8,036
Essence de Shihan et Hanshi;223,333
Essence de Skeunk;178,729
Essence de Solar;377,72
Essence de Sphincter Cell;357,24
Essence de Tal Kasha;506,25
Essence de Tanukouï San;90
Essence de Torkélonia;506,25
Essence de Ush;177,955
Essence de Vortex;506,25
Essence de XLII;232,105
Essence d'Hell Mina;143,75
Essence d'Ilyzaelle;506,25
Essence d'Ombre;366
Essence d'Ougah;724,713
Essence du Blop Multicolore Royal;122,448
Essence du Blop Royal;81,601
Essence du Bouftou Royal;9,683
Essence du Bworker;724,713
Essence du Capitaine Ekarlatte;90
Essence du Chafer R?nin;9,199
Essence du Chalœil;506,25
Essence du Chêne Mou;173,708
Essence du Chouque;83,154
Essence du Comte Razof;366
Essence du Corailleur Magistral;23,368
Essence du Craqueleur Légendaire;39,22
Essence du Directeur Grunob;6,562
Essence du Dragon Cochon;98,438
Essence du Glourséleste;928,5
Essence du Kanniboul Ebil;33,494
Essence du Kharnozor;108,94
Essence du Kimbo;446,842
Essence du Kolosso;928,5
Essence du Korriandre;724,713
Essence du Koulosse;81,908
Essence du Kralamoure Géant;693,376
Essence du Kwakwa;23,368
Essence du Maître Corbac;98,824
Essence du Mansot Royal;281,43
Essence du Mantiscore;63,073
Essence du Meulou;81,908
Essence du Minotoror;156,573
Essence du Minotot;446,842
Essence du Père Ver;232,105
Essence du Phossile;143,75
Essence du Pounicheur;55,588
Essence du Protozorreur;506,25
Essence du Rasboul Majeur;130,1
Essence du Rat Blanc;43,954
Essence du Rat Noir;64,068
Essence du Roi Imagami;867,857
Essence du Roi Nidas;506,25
Essence du Royalmouth;178,729
Essence du Scarabosse Doré;14,217
Essence du Shogun Tofugawa;177,955
Essence du Tengu Givrefoux;572,383
Essence du Tofu Royal;177,28
Essence du Tournesol Affamé;4,154
Essence du Toxoliath;290,294
Essence du Tynril;281,43
Essence du Wa Wabbit;33,494
Essence du Wa Wobot;25,244
Estomac de Black Wo Wabbit;0,841
Estomac de Gliglidoudur;25,726
Estomac de Mansocolat;3
Estomac de Ouassingue;0,18
Estomac de Tofukaz;1,064
Estomac de Tofu Ventripotent;1,064
Estomac de Wo Wabbit;0,404
Étain;0,15
Étamine de Floribonde;3,601
Ethmoïde de Stalak;101,25
Ethmoïde du Minotot;29,659
Étoffe de Choudini;33,385
Étoffe de Croleur;67,418
Étoffe d'Écurouille;0,665
Étoffe de Dok Alako;0,711
Étoffe de Draegnerys;3,14
Étoffe de Firefoux;22,635
Étoffe de Foufayteur;3,391
Étoffe de Gliglidoudur;4,363
Étoffe de Glourmand;75
Étoffe de Gourlo le Terrible;18,646
Étoffe de Grodruche;101,25
Étoffe de Kaniblou;33,322
Étoffe de Kaniglou;20,327
Étoffe de Kolosso;375
Étoffe de Kurookin;3,722
Étoffe de Meupette;29,559
Étoffe de Ouassingue;9,436
