ID;Ressources;XP
17853;Jus de poisson méphitique;894.695
24136;Essence de la Reine Amirukam;867.857
24135;Essence du Roi Imagami;867.857
15534;Carte d'Ali Grothor;861.3
17155;Bidoche Maigre;800.363
17116;Épaulière Massive du K.O.;800.0
32945;Carte de Padgref Demoël;783.0
16041;Carte de Pantèroz;783.0
32283;Carte de Katigrou;753.75
17157;Bidoche Gâtée;967.647
32284;Carte de Fantômayte;905.625
32946;Carte de Fojumo;904.5
17853;Jus de poisson méphitique;894.695
24136;Essence de la Reine Amirukam;867.857
24135;Essence du Roi Imagami;867.857
15534;Carte d'Ali Grothor;861.3
17155;Bidoche Maigre;800.363
17116;Épaulière Massive du K.O.;800.0
32945;Carte de Padgref Demoël;783.0
16041;Carte de Pantèroz;783.0
32283;Carte de Katigrou;753.75
15485;Sporme de Dremoan;750.0
13981;Alliage Ivre;750.0
13979;Cœur Gelé;750.0
32944;Carte de Nenufor Tilotus;692.85
17852;Jus de poisson pestilentiel;670.925
32281;Carte de Bouflouth;670.5
32282;Carte de Monsieur Pingouin;652.5
17870;Socle en coquillage;640.0
17869;Filtre à frousse;640.0
17868;Plombs de plongée;640.0
17867;Hélice en laiton;640.0
17866;Steamopompe;640.0
17865;Marque des grands fonds;640.0
13367;Galet Solaire;625.0
33500;Gigantesque Élixir de Dragofesse;622.015
17115;Scalp d'Anatak;620.0
33503;Gigantesque Élixir de Mangeoire;607.875
33502;Gigantesque Élixir d'Abreuvoir;607.875
33499;Gigantesque Élixir de Caresseur;607.875
33498;Gigantesque Élixir de Baffeur;607.875
33501;Gigantesque Élixir de Foudroyeur;607.5
13980;Cuir Onique;600.0
17114;Poils de Zatoïshwan;550.0
26347;Gravure de Séisme;516.054
1348;Potion de Séisme;512.374
31678;Corne du Vénérable Endormi;506.25
31628;Toison de la Déchireuse;506.25
27405;Essence de Belladone;506.25
26041;Essence de l'Éternel Conflit;506.25
25318;Essence de Kabahal;506.25
21217;Essence de Torkélonia;506.25
19916;Essence de Tal Kasha;506.25
19914;Essence de Dazak Martegel;506.25
19912;Essence d'Anerice la Shushess;506.25
19911;Essence de la Larve de Koutoulou;506.25
19910;Essence de Dantinéa;506.25
19909;Essence d'Ilyzaelle;506.25
19908;Essence de Meno;506.25
19906;Essence de Bethel Akarna;506.25
17735;Essence du Chalœil;506.25
15734;Essence de Vortex;506.25
15705;Essence du Protozorreur;506.25
15704;Essence de la Reine des Voleurs;506.25
15272;Essence du Roi Nidas;506.25
14865;Cœur de Merkator;506.25
14706;Essence de Merkator;506.25
14705;Essence du Comte Harebourg;506.25
14704;Essence de Nileza;506.25
14703;Essence de Klime;506.25
14702;Essence de Sylargh;506.25
14701;Essence de Missiz Frizz;506.25
13995;Bandelette du Comte Harebourg;506.25
13983;Incisive de Sylargh;506.25
13948;Braguette de Nileza;506.25
13936;Culotte de Missiz Frizz;506.25
13924;Scalp de Klime;506.25
26349;Gravure d'Ouragan;505.79
26348;Gravure d'Incendie;505.79
26345;Gravure de Tsunami;505.79
1347;Potion d'Ouragan;502.11
1346;Potion de Tsunami;502.11
1345;Potion d'Incendie;502.11
16208;Fragment de Rubis Fertile;500.0
15541;Œuf d'Ali Grothor;500.0
14268;Poche de magma de Grasmera;496.324
21515;Essence de Corruption;491.36
17151;Bidoche de Brousse;475.207
32943;Carte de Trukipik;472.5
32942;Carte de Naganita;472.5
32941;Carte de Carlita de l'Aguerfelde;472.5
17275;Orbe régénérant magistral;450.0
22130;Essence de Servitude;450.0
22129;Essence de Misère;450.0
22128;Essence de Guerre;450.0
16207;Sceau Sylvestre;430.0
23950;Clef de la Mémoire d'Orukam;416.451
23951;Clef du Souvenir d'Imagiro;405.801
14145;Œil de verre;400.0
14144;Mycoses gelées;400.0
14143;Fermeture éclair;400.0
14142;Boulon neuf;400.0
14141;Racine cristalline;400.0
17149;Bidoche Macérée;377.99
19907;Essence de Solar;377.72
11944;Hamatum de Glourséleste;375.0
11932;Étoffe de Kolosso;375.0
11883;Condyle de Fuji Givrefoux;375.0
11517;Eclat temporel;375.0
27451;Essence de Barbéryl Clochecuivre;366.0
19913;Essence du Comte Razof;366.0
14975;Essence d'Ombre;366.0
14700;Essence du Glourséleste;366.0
14699;Essence de Grolloum;366.0
14698;Essence de Fuji Givrefoux;366.0
14697;Essence du Kolosso;366.0
25252;Clef du Rituel de Kabahal;338.475
27518;Cœur de Cire Momore;337.5
21013;Boucle intemporelle;337.5
21012;Boucle temporelle;337.5
23105;Lame de Katana;335.438
33494;Grand Élixir de Mangeoire;331.579
11292;Prototype d'Abreuvoir frigostien en Bambou;313.129
16472;Espadon Quichotte;305.0
19514;Clef de la Tour de Solar;302.578
11294;Prototype de Foudroyeur frigostien en Bambou;300.552
17147;Bidoche Persillée;300.518
24144;Substrat Astral;300.0
27404;Clef de la Chambre des maléfices;297.975
26039;Clef de la Bataille de l'Aurore Pourpre;297.975
21216;Clef du Sanctuaire de Torkélonia;297.975
20920;Clef du Temple du dieu Kao;297.975
19515;Clef de la Tour de Bethel;297.975
19216;Clef du Belvédère d'Ilyzaelle;297.975
19049;Clef du Manoir des Katrepat;297.975
18544;Clef de la Chambre de Tal Kasha;297.975
32938;Carte de Musha l'Oni;297.563
15703;Essence du Toxoliath;290.294
14696;Essence d'Ougah;290.294
14695;Essence du Bworker;290.294
14693;Essence du Korriandre;290.294
11293;Prototype de Mangeoire frigostienne en Bambou;289.805
11896;Œil de Korriandre;289.613
9401;Peau du Bworker;289.613
9281;Fragment d'Ougalurette;289.613
11295;Prototype de Baffeur frigostien en Bambou;288.522
12152;Clef de la Maison du Papa Nowel;286.511
27714;Fleur de Cendrepierre;280.748
8812;Encre du Kralamoure géant;278.159
14694;Essence du Kralamoure Géant;276.136
32940;Carte de Rok Gnorok;258.0
32939;Carte de Simbadas;258.0
11282;Gants de protection;257.475
22148;Clef de l'Arbre de Mort;254.595
22401;Clef de la Tempête de l'Eliocalypse;254.19
22149;Clef de la Sentence de la Balance;254.19
22147;Clef du Trône de Sang;254.19
22028;Clef des Fers de la Tyrannie;254.19
19963;Clef de la Brasserie du roi Dazak;254.19
15690;Clef du Ventre de la Baleine;254.19
14870;Clef de l'Aquadôme de Merkator;254.19
14047;Clef du Donjon du Comte Harebourg;254.19
14046;Clef du Laboratoire de Nileza;254.19
14045;Clef des Salons privés de Klime;254.19
14044;Clef du Transporteur de Sylargh;254.19
14043;Clef de la Forgefroide de Missiz Frizz;254.19
31650;Clef du Breuil du Vénérable;253.935
12738;Galet rutilant;250.0
33493;Grand Élixir d'Abreuvoir;246.371
33492;Grand Élixir de Foudroyeur;245.996
33484;Élixir d'Abreuvoir;244.476
15808;Clef de l'Œil de Vortex;244.215
17145;Bidoche Saignante;237.261
32936;Carte de Tyranne la Terrible;234.865
18067;Clef du Palais de Dantinéa;232.692
24134;Essence de Koumiho;232.105
19938;Essence du Père Ver;232.105
15735;Essence de XLII;232.105
14692;Essence du Tengu Givrefoux;232.105
31533;Carapace de Supervizœuf;229.688
18068;Clef du Temple de Koutoulou;226.875
18066;Clef du Vaisseau du Capitaine Meno;226.875
11342;Cuir de Tengu Givrefoux;226.852
14678;Essence de Shihan et Hanshi;223.333
11181;Clef de l'Antichambre des Gloursons;219.528
22105;Planche hatoufer;219.0
14935;Clef de la Pyramide d'Ombre;210.276
15475;Clef du Trône de la Cour Sombre;209.671
11180;Clef des cavernes du Kolosso;207.078
32937;Carte d'Aermyne Scalptaras;207.0
15280;Clef du Palais du roi Nidas;206.693
23957;Pétale de Papier;205.741
23965;Pétale d'encre;205.006
17565;Clef du Défi du Chalœil;204.12
33482;Élixir de Dragofesse;194.456
27440;Clef du Bastion des Marteaux-Aigris;187.753
18736;Clef du Camp du Comte Razof;187.753
33485;Élixir de Mangeoire;186.259
33481;Élixir de Caresseur;185.382
8329;Clef de la mine de Sakaï;183.117
15040;Queue de Kanigroula;179.258
11334;Vertèbre d'Obsidiantre;179.258
8789;Chaussette du Kimbo;179.258
8408;Sabot du Minotot;179.258
24133;Essence du Shogun Tofugawa;177.955
17736;Essence de Ush;177.955
15095;Essence de Kanigroula;177.955
14691;Essence de l'Obsidiantre;177.955
14690;Essence du Minotot;177.955
14689;Essence du Kimbo;177.955
31447;Énorme pierre d'âme spéciale;173.606
9247;Clef du Temple du Grand Ougah;167.863
33491;Grand Élixir de Dragofesse;165.011
33489;Grand Élixir de Baffeur;163.593
32935;Carte de Qil Bil;162.0
1338;Potion de Secousse;161.836
1337;Potion de Courant d'Air;161.836
1335;Potion de Crachin;161.836
1333;Potion d'Étincelle;161.836
26358;Gravure de Secousse;160.716
26355;Gravure de Crachin;160.716
26354;Gravure de Courant d'Air;160.716
26353;Gravure d'Étincelle;160.716
33515;Neurone de dragodinde;160.0
17864;Ambre de muldo;160.0
12151;Clef de la Caverne de Nowel;159.939
17851;Jus de poisson asphyxiant;157.425
12451;Croc de Krokille;155.625
33490;Grand Élixir de Caresseur;155.278
31651;Clef de l'Autel de la Déchireuse;153.09
17274;Orbe régénérant majeur;150.0
23971;Diacritique de la Reine Amirukam;144.643
23963;Diacritique du Roi Imagami;144.643
33496;Optimakina Dragodinde de Génération 10;144.333
26803;Essence d'Hell Mina;143.75
15274;Essence du Phossile;143.75
14688;Essence de Sphincter Cell;143.75
14687;Essence de Ben le Ripate;143.75
23106;Poignée de Katana;142.936
12468;Bézoard Ardent de Grozilla;142.327
11322;Scapula de Ben le Ripate;142.327
8487;Étoffe de Sphincter Cell;142.327
33472;Petit Élixir de Caresseur;141.363
6884;Clef de la Grotte du Bworker;141.132
31517;Artefact Pandawushu;136.936
20971;Œuf inerte;136.2
11179;Clef de l'Antre du Korriandre;135.044
17442;Pointes de Knout;132.417
17444;Lanières de Knout;130.048
33541;Optimakina Muldo de Génération 10;126.814
33497;Optimakina Volkorne de Génération 10;126.814
17772;Clef du caveau du Roi Léorictus;125.801
13366;Galet Lunaire;125.0
15476;Clef de la Cave du Toxoliath;123.986
32934;Carte de Marzwel le Gobelin;123.0
16040;Carte de Brumen;123.0
18552;Clef du Boyau du Père Ver;121.401
33483;Élixir de Foudroyeur;120.989
23591;Clef de la Demeure des Esprits;120.112
17153;Bidoche Fraîche;119.725
25182;Appendice Démoniaque;119.118
11281;Masque de protection;116.541
33463;Minuscule Élixir de Caresseur;116.424
33540;Animakina Muldo de Génération 10;113.821
15807;Clef de l'Horologium de XLII;113.781
11233;Œuf du Mansot Royal;113.176
8916;Ambre du Tynril;113.176
14683;Essence de Founoroshi;112.082
17981;Peau de Trithon;111.724
14686;Essence du Mansot Royal;111.667
14685;Essence du Tynril;111.667
15533;Rossignol;111.382
33465;Minuscule Élixir de Foudroyeur;110.888
11178;Clef de la Tanière Givrefoux;109.69
33539;Kromakina Muldo de Génération 10;109.538
33462;Minuscule Élixir de Baffeur;107.208
10019;Seau de Pinces à Linge;106.425
7026;Aigue-Marine;105.701
9976;Grattoir à dos inachevé;105.662
22203;Germes corrompus;104.008
33473;Petit Élixir de Dragofesse;103.973
14679;Essence du Tofu Royal;103.953
22253;Lame tranchante;103.404
22222;Collier d'esclave;103.404
22052;Terre Stérile;103.404
33487;Kromakina Volkorne de Génération 10;102.216
31677;Corne d'Amphibouc;101.25
31676;Front osseux de Gropotam;101.25
31675;Défense de Brutapir;101.25
31674;Corne de Lapilope;101.25
31673;Corne de Gyrafor;101.25
31666;Peau de zarbivore;101.25
31627;Frange d'Ébourifauve;101.25
31626;Tresse de Domptueuse;101.25
31625;Mise en plis de Voracle;101.25
31623;Peigne de Rhoarim;101.25
27517;Cire de Cire Momore;101.25
27403;Fleur des protecteurs;101.25
26036;Pic de Ravageur;101.25
21206;Œil de Crocodaille albinos;101.25
20914;Éclat Kao brisé;101.25
19968;Chope de Bière;101.25
19412;Coquille de Submergé;101.25
19233;Brûlâme encapsulé;101.25
19074;Goulobule rouge;101.25
18543;Scarabée Chrysonéfritin;101.25
17988;Pierre Angulaire;101.25
17974;Parasite Aquatique;101.25
15691;Sel de Baleine;101.25
14863;Chaussette du Cyclophandre;101.25
14861;Broderie d'Eskoglyphe;101.25
14853;Œil de Harpo;101.25
14823;Huile de Pikoleur;101.25
14817;Pince de Krabouilleur;101.25
13993;Pic du Nocturlabe;101.25
13991;Queue de Sinistrofu;101.25
13989;Plume de Cycloïde;101.25
13987;Bec de Strigide;101.25
13985;Bec de Granduk;101.25
13978;Pédoncule de Mérulor;101.25
13976;Oreille de Mécanofoux;101.25
13974;Sternum de Mansordide;101.25
13972;Queue de Brikoglours;101.25
13950;Griffe de Kanimate;101.25
13946;Sépale de Drosérâle;101.25
13944;Carapace de Termystique;101.25
13942;Bec de Dodox;101.25
13940;Crinière de Krakal;101.25
13938;Molaire de Nessil;101.25
13934;Moustache de Frimar;101.25
13932;Cervelle de Verglasseur;101.25
13930;Malleus de Karkanik;101.25
13928;Ethmoïde de Stalak;101.25
13926;Molaire de Ventrublion;101.25
13922;Dent de Cuirboule;101.25
13920;Cœur d'Empaillé;101.25
13917;Cervelle de Peunch;101.25
13916;Étoffe de Grodruche;101.25
13914;Culotte de Harrogant;101.25
17139;Bidoche Rassie;100.28
16009;Élixir de Brumen;100.0
14921;Étoffe Mystérieuse;100.0
33478;Optimakina Dragodinde de Génération 9;99.565
11279;Scie à glace;98.438
17443;Manche de Knout;97.5
8809;Culotte à l'envers du Roissingue;97.29
17781;Dissolvant Phosphorescent;97.065
33488;Animakina Dragodinde de Génération 10;96.043
31649;Clef du Poste de contrôle du Supervizœuf;95.212
33476;Petit Élixir de Mangeoire;95.176
33495;Animakina Volkorne de Génération 10;94.895
10030;Tissu de Rapiéçage;92.532
33475;Petit Élixir d'Abreuvoir;92.468
23630;Clef de la Tombe du Shogun Tofugawa;91.416
33471;Petit Élixir de Baffeur;90.147
32933;Carte d'Ogivol Scalarcin;90.0
19915;Essence d'El Piko;90.0
15702;Essence du Capitaine Ekarlatte;90.0
15362;Essence de la Haute Truche;90.0
14682;Essence de Tanukouï San;90.0
18364;Étoile d'Or d'El Piko;89.876
15066;Œuf de Haute Truche;89.876
14663;Essence de Nagate;87.879
8977;Clef de la Canopée du Kimbo;87.707
33538;Optimakina Muldo de Génération 9;87.545
33479;Optimakina Volkorne de Génération 9;87.545
15093;Clef de la Grotte de Kanigroula;86.699
10204;Potion de Sésanabolisant;85.846
31446;Grande pierre d'âme spéciale;84.694
31892;Feu sacré de Gargandyas;84.375
31672;Crinière du Vénérable Endormi;84.375
31631;Griffe de la Déchireuse;84.375
27402;Rouge à lèvres de Belladone;84.375
26037;Masque cauchemardesque de l'Éternel Conflit;84.375
25181;Sceptre brisé de Kabahal;84.375
21207;Écaille de Torkélonia;84.375
20913;Broderie de la Prêtresse de Kao;84.375
19969;Épaulière de Dazak Martegel;84.375
19411;Queue de Bethel Akarna;84.375
19237;Plume d'Ilyzaelle;84.375
19068;Pic d'Anerice;84.375
18542;Cheveux de Tal Kasha;84.375
17982;Dentier de Dantinéa;84.375
17976;Poil de Meno;84.375
17626;Dé du Chalœil;84.375
15689;Noyau de Protozorreur;84.375
15445;Broderie de la Reine des Voleurs;84.375
15176;Joyau de la couronne du roi Nidas;84.375
14864;Barbe de Merkator;84.375
14267;Pointe osseuse de Grasmera;84.375
13994;Scapula du Comte Harebourg;84.375
13982;Laine de Sylargh;84.375
13947;Broderie de Nileza;84.375
13935;Poil d'aisselle de Missiz Frizz;84.375
13923;Moustache de Klime;84.375
17137;Bidoche Sanguinolente;84.146
14927;Symbole des Obscuranti;82.931
22204;Corne de Corruption;81.893
31448;Gigantesque pierre d'âme spéciale;81.512
11176;Clef du Grolandais violent;80.872
33486;Kromakina Dragodinde de Génération 10;80.221
33467;Minuscule Élixir de Mangeoire;79.085
33536;Kromakina Muldo de Génération 9;77.06
11177;Clef de l'hypogée de l'Obsidiantre;76.645
9975;Manche du Grattoir;75.995
33466;Minuscule Élixir d'Abreuvoir;75.439
15219;Trame Dimensionnelle;75.0
22246;Bonnet de Guerre;75.0
22219;Verrou de Servitude;75.0
22046;Plume de Misère;75.0
27433;Poils de barbe de Marteau-Aigri;75.0
18735;Bouteille de Bouchonnois;75.0
11946;Calcanéus de Meliglours;75.0
11940;Étoffe de Glourmand;75.0
11937;Laine de Glouragan;75.0
11935;Iris de Boulglours;75.0
11522;Fragment de pépite de Sakaï;74.838
26333;Clef du Tertre du long sommeil;74.665
19405;Sang de Calciné;73.885
17564;Clef du Plateau de Ush;73.162
15531;Crochet rouillé;72.5
15736;Essence de Fraktale;72.097
14681;Essence de Skeunk;72.097
14677;Essence du Royalmouth;72.097
1680;Corne Brûlée du Minotoror;71.635
33469;Kromakina Volkorne de Génération 9;71.203
11219;Queue du Royalmouth;71.088
8404;Peau de Skeunk;71.088
11919;Œil de Fleuro;69.703
6490;Ambre du Chêne Mou;69.598
14684;Essence du Chêne Mou;69.31
33436;Potion de Mangeoire;67.936
11933;Vomer d'Apériglours;67.418
11929;Queue de Blérom;67.418
11928;Oreille de Blérice;67.418
11925;Étoffe de Croleur;67.418
11924;Poil de Blérauve;67.418
11922;Manubrium de Wolvero;67.418
17850;Jus de poisson abominable;66.345
33470;Animakina Dragodinde de Génération 9;66.264
33445;Grande Potion d'Abreuvoir;66.156
33443;Grande Potion de Dragofesse;65.841
33537;Animakina Muldo de Génération 9;65.346
33477;Animakina Volkorne de Génération 9;65.346
12001;Larme de Givrefoux;65.0
14674;Essence du Rat Noir;64.068
8975;Clef du Laboratoire du Tynril;63.813
19404;Cervelle de Solar;62.953
17135;Bidoche Avariée;62.212
27439;Cloche de Barbéryl Clochecuivre;61.0
18734;Poils du Comte Razof;61.0
14928;Corne d'Ombre;61.0
13154;Poudre glaciale;61.0
11943;Queue de Glourséleste;61.0
11931;Griffe de Kolosso;61.0
11884;Cuir de Fuji Givrefoux;61.0
33461;Optimakina Muldo de Génération 8;60.393
33460;Optimakina Volkorne de Génération 8;60.393
15279;Clef de la Galerie du Phossile;59.63
31445;Moyenne pierre d'âme spéciale;59.459
8307;Clef de la salle du Minotot;59.35
33441;Grande Potion de Baffeur;59.263
33459;Optimakina Dragodinde de Génération 8;59.149
17143;Bidoche Séchée;58.835
33424;Petite Potion d'Abreuvoir;58.146
7312;Clef de la Fabrique de foux d'artifice;57.849
7309;Clef du Dojo du vent;57.849
13747;Caleçon de Cybwork;57.29
33468;Kromakina Dragodinde de Génération 9;56.693
426;Fibre de Chanvre;56.207
8798;Queue emplumée du Rasboul Majeur;55.851
17737;Essence du Pounicheur;55.588
13745;Caleçon Blanc;54.798
13743;Caleçon Bleu;54.798
13741;Caleçon Brun;54.798
13739;Caleçon Rouge;54.798
8436;Clef de la Clairière du Chêne Mou;54.366
13737;String en Cuir de la Mama Bwork;54.183
33480;Élixir de Baffeur;52.37
33449;Kromakina Muldo de Génération 8;52.345
929;Kristalite;52.171
9969;Salace de poissons empoisonnée;52.168
11894;Pédoncule de Mérulette;51.761
11892;Racine d'Abrazif;51.761
11889;Pédoncule de Fongeur;51.761
11887;Oreille de Fistulor;51.761
11886;Œil de Dramanite;51.761
33456;Gigantesque Potion d'Abreuvoir;51.122
33453;Gigantesque Potion de Caresseur;50.754
14680;Essence de Crocabulia;49.121
14676;Essence du Minotoror;49.121
14675;Essence du Blop Multicolore Royal;49.121
11175;Clef Mansot;49.065
9391;Fleur de Blop Multicolore Royal;48.885
8387;Plume Vibrante du Tofu Royal;48.885
8365;Corne brisée de Crocabulia;48.885
15451;Sang du Toxoliath;48.382
13157;Ongle du Bworker;48.382
11895;Patte de Korriandre;48.382
9280;Épine d'Ougah;48.382
33438;Optimakina Dragodinde de Génération 7;48.269
33458;Animakina Muldo de Génération 8;48.145
33451;Animakina Volkorne de Génération 8;48.042
33448;Kromakina Volkorne de Génération 8;47.75
18567;Carapace de Ver des Sables;47.559
15477;Clef du Ring du Capitaine Ekarlatte;47.198
7310;Clef de la Vallée de la Dame des eaux;47.114
20919;Clef de la Croquanterie;47.114
18422;Clef de la Caverne d'El Piko;47.114
14671;Essence du Rasboul Majeur;46.324
33440;Optimakina Muldo de Génération 7;46.224
33439;Optimakina Volkorne de Génération 7;46.224
8813;Ventouse du Kralamoure géant;46.023
31532;Zœuf de Quadrabz;45.938
31531;Zœuf de Kamikabz;45.938
31530;Zœuf de Toubibz;45.938
31529;Zœuf de Balebz;45.938
31523;Touffe de Kabombz;45.938
33437;Animakina Muldo de Génération 7;45.381
7383;Yokayu;45.37
33474;Petit Élixir de Foudroyeur;45.062
17273;Orbe régénérant;45.0
16460;Substrat de Sylve;45.0
17133;Bidoche Ladre;44.76
14673;Essence du Rat Blanc;43.953
8393;Poil de Dragon Cochon;43.75
21514;Essence du Kharnozor;43.75
15273;Essence de Malléfisk;43.75
14670;Essence de Dramak;43.75
14672;Essence du Maître Corbac;43.539
21265;Œil du Kharnozor;43.46
14517;Slip troué de Dramak;43.46
14266;Poche de charbon de Grasmera;43.46
13334;Chicots d'Halouine;43.46
33432;Potion de Caresseur;43.249
28277;Grizite;42.964
7311;Clef de l'Atelier du Tanukouï San;42.614
33447;Kromakina Dragodinde de Génération 8;42.536
33425;Petite Potion de Mangeoire;42.342
16459;Substrat de Forêt vierge;42.0
15378;Carte de Frakacia;42.0
33427;Kromakina Volkorne de Génération 7;41.81
17777;Clef du caveau du Prince Djamal;41.409
15162;Clef de la Volière de la Haute Truche;40.938
33428;Kromakina Muldo de Génération 7;40.459
33444;Grande Potion de Foudroyeur;40.412
11948;Cornée de Kami Givrefoux;40.278
11882;Queue de Yomi Givrefoux;40.278
11340;Crâne de Yokaï Givrefoux;40.278
11337;Cuir de Maho Givrefoux;40.278
11335;Patte de Soryo Givrefoux;40.278
14656;Essence de Damadrya;40.213
33421;Petite Potion de Caresseur;39.84
33423;Petite Potion de Foudroyeur;39.549
33417;Optimakina Dragodinde de Génération 6;39.31
33442;Grande Potion de Caresseur;39.122
33418;Optimakina Volkorne de Génération 6;39.009
31528;Slip feuillu de Supervizœuf;38.684
18568;Œil du Père Ver;38.684
15721;Corne de XLII;38.684
11341;Laine de Tengu Givrefoux;38.684
7385;Braises bleutées;38.684
33450;Animakina Dragodinde de Génération 8;38.256
31444;Petite pierre d'âme spéciale;38.215
33429;Animakina Dragodinde de Génération 7;38.106
33407;Kromakina Muldo de Génération 6;36.92
2527;Clakoss;36.856
14264;Fausse dent de Grozilla;36.765
28268;Farine de contrebande;36.75
12450;Coquille de Krokille;36.648
33396;Optimakina Dragodinde de Génération 5;36.473
12743;Potion minérale;36.394
11328;Œuf de Crapeur;36.392
33464;Minuscule Élixir de Dragofesse;36.163
15806;Clef du Mégalithe de Fraktale;36.136
7384;Étoffe de Samouraï fantôme;35.852
23694;Concassé de brume;35.591
8796;Nœud de l'Abrakleur clair;34.882
11330;Artefact de Fumrirolle;34.848
11324;Téphra d'Atomystique;34.848
15044;Frimousse d'Alhyène;34.115
15042;Peau de Kanihilan;34.115
31890;Dent de zarbivore perturbé;34.02
8793;Coquille du Kaskargo;34.011
33419;Optimakina Muldo de Génération 6;33.98
23958;Poing-virgule d'Imushin;33.817
18743;Implants Rustiques;33.637
16181;Globule de Nyée;33.385
2623;Bwak Squelettique;33.385
1696;Étoffe de Choudini;33.385
15052;Boucle d'Orfélin;33.322
15050;Étoffe de Kaniblou;33.322
17785;Clef du Temple Maudit;33.265
33406;Kromakina Volkorne de Génération 6;33.259
19921;Essence de Choudini;33.077
17414;Essence du Chouque;33.077
16286;Essence de la Reine Nyée;33.077
11316;Dent de Fantômat;33.059
31889;Poil de Rhoarim perturbé;32.989
11174;Clef de la serre du Royalmouth;32.863
14669;Essence de Moon;32.813
14668;Essence du Meulou;32.813
14667;Essence du Koulosse;32.813
14666;Essence du Dragon Cochon;32.813
8402;Pierre du Koulosse;32.731
