Ressources;XP;ID
Oeuf du Mansot Royal;90;11233
Delko du Perkü;88;
Queue de Marôdeur;78;
Croc de Krokille;78;12451
Laine de Glouragan;76;11937
Étoffe de Glourmand;76;11940
Calcanéus de Meliglours;76;11946
Poil de Blérauve;76;11924
Oreille de Blérice;76;11928
Queue de Blérom;76;11929
Étoffe de Croleur;76;11925
Queue Magique du Péki;76;
Étoffe de Péki;76;
Ambre du Tynril;76;8916
Peau lacérée du Tynril;76;
Écorce du Tynril;76;
Ambre du Chêne Mou;76;6490
Bourgeon du Chêne Mou;76;
Oeil de Fleuro;75;11919
Manubrium de Wolvero;69;11922
Culotte de Harrogant;68;13914
Galet Lunaire;63;13366
Étoile d'Or d'El Piko;60;18364
Testicules du Tanukouï San;60;7386
Caleçon de Cybwork;58;13747
Cornée de Kami Givrefoux;57;11948
Queue du Royalmouth;56;11219
Lamelle de Champbis;56;9278
Langue du Champodonte;56;
Trompe de la Tromperelle;56;9267
Caleçon Blanc;55;13745
Caleçon Bleu;55;13743
Caleçon Rouge;55;13739
Caleçon Brun;55;13741
String en Cuir de la Mama Bwork;54;13737
Écorce de Champaknyde;53;9263
Broderie de la Reine des Voleurs;51;15445
Joyau de la couronne du roi Nidas;51;15176
Dé du Chaloeil;51;
Aile de Vortex;51;15715
Chaussette du Cyclophandre;51;14863
Pince de Krabouilleur;51;14817
Huile de Pikoleur;51;14823
Oeuf de Crapeur;50;11328
Peau de Skeunk;48;8404
Culotte à l'envers du Roissingue;48;8809
Racine d'Abrazif;47;11892
Oeil de Dramanite;47;11886
Oreille de Fistulor;47;11887
Pédoncule de Fongeur;47;11889
Pédoncule de Mérulette;47;11894
Coquille de Submergé;47;19412
Scarabée Chrysonéfritin;47;18543
Poil de Maître Pandore;47;
Peau de Maître Pandore;47;
Étoffe de Maître Pandore;47;
Cuir du Minotoror;47;
Sabot du Minotoror;47;
Fémur du Minotoror;47;
Corne Brûlée du Minotoror;47;1680
Téphra d'Atomystique;46;11324
Artefact de Fumrirolle;46;11330
Sang de Calciné;46;19405
Goulobule rouge;46;19074
Rune Invo;45;7442
Symbole des Obscuranti;44;14927
Chope de Bière;43;19968
Brûlâme encapsulé;43;19233
Poignée du Gorgouille;43;12374
Ulna de Solfataré;39;11326
Radius d'Ouilleur;39;
Iris de Boulglours;38;11935
Aile de Gloursaya;38;11941
Corne d'Ombre;38;14928
Peau du Rasboul Majeur;37;
Queue emplumée du Rasboul Majeur;37;8798
Oeil de Vigie Pirate;36;11320
Noeud de l'Abrakleur clair;36;8796
Moumoute du Sapeur;35;
Bouteille de Bouchonnois;35;18735
Vomer d'Apériglours;34;11933
Noyau de Protozorreur;34;15689
Sel de Baleine;34;15691
Epaulette de Dazak Martegel;34;
Queue de Bethel Akarna;34;19411
Patte de Gobosteur;34;
Borderie de Nileza;34;
Poil d'aisselle de Missiz Frizz;34;13935
Laine de Sylargh;34;13982
Plume d'Ilyzaelle;34;19237
Moustache de Klime;34;13923
Scapula du Comte Harebourg;34;13994
Cheveux de Tal Kasha;34;18542
Barbe de Merkator;34;14864
Broderie d'Eskoglyphe;34;14861
Poil de Meno;34;17976
Aile de Larve de Koutoulou;34;17989
Dentier de Dantinéa;34;17982
Pointe osseuse de Grasmera;34;14267
Cervelle de Solar;33;19404
Pic d'Anerice;33;19068
Coquille de Harpirate;31;11317
Huile de Fantimonier;29;11313
Sang du Toxoliath;29;15451
Slip troué de Dramak;29;14517
Pierre du Koulosse;29;8402
Testicules de Meulou;29;
Dents de Meulou;29;
Mojo du Meulou;29;
Testicules Magiques du Meulou;29;2806
Oeil de Meulou;29;
Crâne du Dragon Cochon;29;
Sang de Dragon Cochon;29;
Dragolait;29;
Queue de Dragon Cochon;29;
Défense de Dragon Cochon;29;
Poil de Dragon Cochon;29;8393
Étoffe Magique de Moon;29;8384
Étoffe de Meupette;29;8791
Bave de Champ à Gnons;28;9279
Oeil de Champmane;28;9277
Ventouse du Kralamoure géant;28;8813
Corde du Fancrôme;27;11310
Bouée de Fantomalamère;27;11311
Queue de Glourséleste;25;11943
Cuir de Fuji Givrefoux;25;11884
Griffe de Kolosso;25;11931
Poudre glaciale;25;13154
Fragment gelé;25;
Fausse dent de Grozilla;25;14264
Poils du Comte Razof;25;18734
Pilule de Rat Pine;25;
Pierre Angulaire;24;17988
Peau de Trithon;24;17981
Cuir de Maho Givrefoux;23;11337
Étoffe de Kaniglou;23;11249
Corne de XLII;23;15721
Parasite Aquatique;23;17974
Oreille du Fu Mansot;22;11231
Poche de charbon de Grasmera;22;14266
Étoffe de Choudini;22;1696
Bwak Squelettique;22;2623
Talon d'achille de l'Abrakleur sombre;22;8784
Bourgeon d'Abraknyde Ancestral;22;8495
Oeil de Branche Invocatrice;22;16162
Oeil de Branche Soignante;22;16163
Écorce de Floribonde;21;8771
Arête géante du Shamansot;20;11228
Crâne de Yokaï Givrefoux;20;11340
Patte de Korriandre;20;11895
Oeil torve de Fricochère;20;11246
Écorce de Brouture;20;8772
Écorce de Chiendent;20;8775
Écorce de Fécorce;20;8774
Écorce de Nerbe;20;8773
Mandibule d'Abrakne Irascible;20;16160
Épine d'Ougah;19;9280
Oeil d'Ougah;19;
Ongle du Bworker;19;13157
Arakne Irascible Écrasée;19;16158
Huile de Mamansot;18;11226
Patte de Soryo Givrefoux;18;11335
Moustache de Ush;18;17620
Coquille de Krokille;18;12450
Oeil de la Gardienne des Égouts;18;
Ambre d'Abraknyde Sombre Irascible;18;16156
Queue de Yomi Givrefoux;17;11882
Défense du Sanglacier;17;11242
Coeur du Mantiscore;17;18385
Coquille du Kaskargo;17;8793
Aile de Mansobèse;16;11224
Dent de Fantômat;16;11316
Scorie d'Obsidiantre;16;11333
Couche de Daïgoro;16;
Coco du Bitouf aérien;16;8792
Kristalite;16;929
Queue du Boufmouth légendaire;15;11135
Laine de Tengu Givrefoux;15;11341
Oeil du Père Ver;15;18568
Étoffe de Maho Firefoux;15;
Tresse du Poolay;15;8786
Défense du Phossile;14;15170
Carapace de Ver des Sables;14;18567
Bec du Timansot;13;11222
Oeil de Boufmouth de guerre;13;11121
Gland de l'Ecumouth;13;11239
Galet Saisonnier;13;13365
Galet bistré;13;
Galet cramoisi;13;12737
Étoffe du Fauchalak;13;8082
Boomerang du Maître Koalak;13;8076
Poils de Barbe du Warko Violet;13;8066
Étoffe de Fantôme Léopardo;13;
Étoffe de Fantôme Maho Firefoux;13;
Étoffe de Fantôme Pandikaze;13;
Étoffe de Fantôme Pandore;13;
Étoffe de Fantôme Pandule;13;
Étoffe de Fantôme Soryo Firefoux;13;
Étoffe de Fantôme Tanukouï San;13;
Étoffe de Fantôme Yokai Firefoux;13;
Poil de Ben le Ripate;12;11321
Dent de Smilomouth;12;11240
Griffe de Buboxor;12;15719
Oeil de Harpille;12;15718
Serre d'Ikargn;12;15716
Corne de Méjaire;12;15717
Fémur de Koalak Farouche;12;8056
Fiole de fumée de Nelween;12;12075
Méga Pierre du Craqueleur Légendaire;12;8394
Ethmoïde du Minotot;12;13168
Corne de Mominotor;12;8328
Corne de Scaratos;12;14951
Sphénoïde du Kimbo;12;13164
Perruque du Kimbo;12;
Pourdre explosive de Gourlo;12;
Clavicule de Boufmouth;11;11118
Peau de Chevaucheur Koalak;11;8053
Boomerang du Koalak Sanguin;11;8064
Queue de Koalak Sanguin;11;
Plume du Mansot Royal;10;11232
Aquarakne de Crânonier;10;19409
Protection de Funespadon;10;19408
Bout d'Armure de Macrab;10;19410
Pointe de Lance de Tournoyé;10;19407
Chair de Zombruth;10;19406
Crâne magique de Magouille;10;15450
Boule en or de Piloztère;10;15181
Plume du Cavalier;10;17622
Sceau du Roi Joueur;10;17625
Pique du Soldat;10;17621
Gilet du Valet;10;17623
Plume de Brabuzar;10;15720
Dent de Bandleth;10;18538
Fragment de Chakanoubis;10;18537
Oreille de Griffotep;10;18541
Grenat de Momistik;10;18539
Paupière Dorée de Rykaon;10;18540
Sang de Harpo;10;14859
Dent de Tilamproie;10;17990
Flûte de Klûtiste;10;17987
Épine de Diondin;10;17980
Épine Dorsale de Grozilla;10;12467
Place de Concert de Diamantine;10;13709
Journal Intime d'Émeraude;10;13706
Pense-bête de Rubise;10;13708
Shampooing au Kaliptus de Saphira;10;13707
Peau de Sphincter Cell;10;
Oreille de Sphincter Cell;10;
Fémur de Sphincter Cell;10;8490
Langue de Hacharné;10;19401
Oeil de Halbardent;10;19403
Dent de Klémort;10;19399
Grenade de Moribombe;10;19402
Vertèbre de Trépavois;10;19400
Ongle de Goulafre;10;19069
Oeil de Gouligane;10;19071
Poils de Goultime;10;19072
Aile de Kérigoule;10;19070
Nez de Pipisteuse;10;19073
Trompe de Minoskito;10;
Bâton du Kilibriss;10;8765
Poils de barbe de Barbélier;9;19972
Fronde de Boufbos;9;19971
Jambière de Kasrok;9;19973
Armure de Tanklume;9;19970
Dent de Vatenbière;9;19974
Fragment de pépite de Sakaï;9;11522
Pierre du Courtilieur;9;11530
Bois de Gobus;9;
Estomac du Perkü;9;
Plume de Dodox;9;13941
Bracée de Drosérâle;9;
Canine de Krakal;9;13939
Bave de Nessil;9;13937
Patte de Termystique;9;13943
Stapes de Frimar;9;13933
Sang de Karkanik;9;13929
Incisive de Stalak;9;13927
Sang de Ventrublion;9;13925
Incus de Verglasseur;9;13931
Maxillaire de Brikoglours;9;13971
Canine de Kanimate;9;13949
Bec de Mansordide;9;13973
Astragale de Mécanofoux;9;13975
Volve de Mérulor;9;13977
Cendres de Chause;9;19234
Pince de Crâme;9;19232
Fragment d'Ectorche;9;19235
Restes d'Esprigné;9;19236
Oeil de Feutôme;9;19231
Cuir de Cuirboule;9;13921
Cuir d'Empaillé;9;13919
Cuir de Grodruche;9;13915
Oeil de Harrogant;9;13913
Cuir de Peunch;9;13918
Oeil de Cycloïde;9;13988
Plume de Granduk;9;13984
Aile de Nocturlabe;9;13992
Aile de Sinistrofu;9;13990
Griffe de Strigide;9;13986
Coeur du Capitaine Ekarlatte;9;15457
Masque de la Violence;9;14924
Masque de la Vivacité;9;14925
Masque du Vide;9;14922
Masque de la Vengeance;9;14923
Masque du Vice;9;14926
Jus de Cacterre;9;18357
Étoffe de Soryo Firefoux;9;
Lait de Porsalu;9;
Coco du Bitouf des Plaines;9;8769
Coeur de pierre poli;9;8736
Bec du Kido;9;8741
Crinière fleurie;9;8753
Cuir de Glouragan;8;11938
Incisive de Glourmand;8;11939
Queue de Meliglours;8;11945
Cuir de Bouftonmouth;8;11120
Tuf de Mofette;8;11332
Griffe de Blérauve;8;11923
Molaire de Blérice;8;11927
Omoplate de Blérom;8;11930
Oreille de Croleur;8;11926
Péroné du Marôdeur;8;11525
Rune Pa Ré Pa;8;11642
Rune Pa Ré Pme;8;11644
Rune Pa Ret Pa;8;11646
Rune Pa Ret Pme;8;11648
Éclat Obscur;8;14954
Boue Vénérable;8;12431
Flaque Vénérable;8;12443
Cendres Vénérables;8;12439
Poudre Vénérable;8;12435
Fumée Vénérable;8;12447
Oreille de Bouledogre;8;14509
Élastique de Gobvious;8;14511
Corne de Rhinoféroce;8;14515
Bave de Brokouillon;8;18731
Queue de Chevrotine;8;18730
Flèche de Crâmbo;8;18733
Os de Nemroz;8;18732
Sang de Viandargh;8;18729
Coiffe déchiquetée de Drakoalak;8;8086
Os de Mama Koalak;8;8055
Cervelle de Bouftou des Cavernes;8;2448
Testicules de Cocholou;8;292
Mojo de Mergranlou;8;8396
Testicules Magiques de Muloubard;8;2805
Scalp de Mulounoké;8;2575
Corne de Déminoboule;8;8327
Pierre de Serpiplume;8;14952
Cagoule du Kanniboul Ebil;8;11696
Boule polie;8;8737
Tibia du Guerrier Zoth;8;8802
Braguette du Maître Zoth;8;8804
Écusson du Sergent Zoth;8;8806
Antenne de Bacterrib;7;15686
Patte de Tabacille;7;15685
Oeil de Verminocule;7;15684
Coquille de Virustine;7;15687
Oreille de Fleuro;7;11920
Queue de Wolvero;7;11921
Pixel de Fraktale;7;15727
Poil de Péki;7;
Étoffe de Yokai Firefoux;7;
Étoffe de Pandore;7;
Calice du Tynril;7;
Pistil du Tynril;7;8777
Rotule du Disciple Zoth;7;8803
Écorce du Chêne Mou;7;
Racine du Chêne Mou;7;6488
Laine du Royalmouth;6;11221
Coeur de Crapeur;6;11327
Pierre de Mofette;6;11331
Incisive de Kami Givrefoux;6;11949
Écorce d'Abrazif;6;11891
Lamelle de Dramanite;6;11885
Volve de Fistulor;6;11888
Volve de Fongeur;6;11890
Lamelle de Mérulette;6;11893
Glande du Pounicheur;6;17614
Barbe de Seith;6;15725
Pagne de Trantroa;6;15724
Dent de Trezz;6;15722
Peau de Vindeux;6;15723
Venin d'Éperfide;6;15455
Pince de Lucrane;6;15454
Dard de Morfrelon;6;15456
Aile de Puceronde;6;15453
Patte de Scoliopode;6;15452
Relique du Kimbo;6;8675
Picot d'El Piko;6;18383
Avoine Magique;6;1671
Peau de Roukouto;6;6739
Peau de Tivelo;6;6740
Poils de Tanukouï San;6;
Peau de Tanukouï San;6;
Triquetrum du Maître Pandore;6;
Poil de Bworkette;6;8389
Étoffe Corailleuse;6;
Corail Magistral;6;8731
Toile d'Abrakne Sombre;6;16155
Pierre d'Atomystique;5;11323
Pierre de Fumrirolle;5;11329
Rune Cri;5;7433
Rune Pa So;5;19337
Rune So;5;7434
Épaulette de Bourôliste;5;
Chouchou de Doublure;5;15448
Piège désamorcé de Mâchassin;5;15446
Mèche de bombe de Terristocrate;5;15447
Sourcil de Barbétoal;5;15178
Corne de Kamasterik;5;
Dent de Lévitrof;5;15179
Morceau de clef de Paspartou;5;15180
Touffe de cheveux de Soissanth;5;15726
Relique du Tynril;5;8674
Pic de Pikténia;5;18566
Ceinture de la Dame;5;17624
Barbe du Cyclophandre;5;14862
Carapace de Krabouilleur;5;14819
Pic de Pikoleur;5;14822
Queue de Mantaze;5;17973
Patte de Li-Fo;5;17985
Moustache de Rilur;5;17979
Oeil de Krokille;5;12449
Bandelette du Guerrier Koalak;5;8001
Poil de Skeunk;5;8405
Écorce de Liroye Merline;5;1682
Bandeau troué d'Air;5;13744
Bandeau troué d'Eau;5;13742
Bandeau troué de Feu;5;13738
Bandeau troué de Terre;5;13740
Boulon de Cybwork;5;13746
Furoncle de la Mama Bwork;5;13736
Tourbe séchée de Tourbassingue;5;8810
Poils de Boulglours;4;11936
Antenne de Gloursaya;4;11942
Étoffe de Vigie Pirate;4;11319
Résidu de Solfataré;4;11325
Peau d'Ouilleur;4;11527
Rune Pa Do Air;4;11664
Rune Pa Do Cri;4;11654
Rune Pa Do Eau;4;11662
Rune Pa Do Feu;4;11660
Rune Pa Do Neutre;4;11666
Rune Pa Do Pou;4;11650
Rune Pa Do Terre;4;11658
Rune Pa Fui;4;11638
Rune Pa Pi;4;
Rune Pa Tac;4;11640
Rune Ra Sa;4;1552
Broderie de Malléfisk;4;15164
Poil de Chacrebleu;4;17616
Collier de Chakichan;4;17617
Oreille de Chargus;4;17618
Queue de Chasquatch;4;17615
Dent de Rat Blanc;4;
Étoffe de Rat Blanc;4;
Peau de Rat Blanc;4;
Peau de Rat Noir;4;
Cubitus de Rat Noir;4;
Étoffe de Rat Noir;4;
Fragment du Gorgouille;4;12375
Laine du Minotoror;4;
Poils du Minotoror;4;840
Kole;4;1018
Faux menton du Bourbassingue;4;8811
Étoffe du Roissingue;4;8808
Oreille d'Apériglours;3;11934
Sternum de Chachachovage;3;11251
Bec de Gélikan;3;11256
Patte de Rat Bougri;3;11252
Pince du Fancrôme;3;11309
Coquille de Fantimonier;3;11314
Queue de Fantomalamère;3;11312
Mât de Fantômat;3;11315
Écaille de Harpirate;3;11318
Oreille de Gobosteur;3;11519
Oeil de Sapeur;3;11521
Rune Ré Pa;3;11641
Rune Ré Per Air;3;7458
Rune Ré Per Eau;3;7560
Rune Ré Per Feu;3;7457
Rune Ré Per Neutre;3;7460
Rune Ré Per Terre;3;7459
Rune Ré Pme;3;11643
Rune Ret Pa;3;11645
Rune Ret Pme;3;11647
Biscuit de chance;3;17567
Sablier miniature;3;15733
Queue de Mère Veilleuse;3;15175
Peau de Métaphorreur;3;15172
Corne de Père Phorreur;3;15173
Griffe de Phorrêveur;3;15171
Oeil de Phozami;3;15174
Relique du Rasboul Majeur;3;8673
Sable Fin;3;18366
Cuir d'Eskoglyphe;3;14860
Pince de Crabe Yoloniste;3;17971
Écaille de Gambaf;3;17972
Bave de Mol Usk;3;17970
Tentacule de Grofond;3;17983
Tentacule de N'Yalg;3;17984
Oeil de Shokkoth;3;17986
Encre de Poulpée;3;17977
Lanterne de Tourthon;3;17975
Trident de Tryde;3;17978
Chaussette trouée de Dramak;3;14518
Poils de Barbe de Dragodinde;3;8065
Tresse du Koulosse;3;8403
Oeil de Crowneille;3;2056
Kolérat Mort;3;2500
Collier Cassé de Macien;3;2320
Viscères de Scorbute;3;2488
Racine Magique de Bambouto Sacré;3;
Noeud de Marin;3;13343
Souche de l'Abrakleur clair;3;8797
Barbe inexistante du Barbroussa;3;8754
Touffe rousse du Flib;3;8755
Humérus du Sparo;3;8739
Sourcil du Rasboul majeur;3;
Plume du Rasboul Majeur;3;13167
Queue du Fu Mansot;2;11230
Duvet de Mamansot;2;11227
Peau de Mansobèse;2;11225
Poil de barbe du Shamansot;2;11229
Laine de Boufmouth légendaire;2;11136
Oeil de Crabe Hijacob;2;11255
Peau de Pataugerme;2;15688
Larme de Givrefoux;2;12001
Laine de Maho Givrefoux;2;11338
Oreille de Soryo Givrefoux;2;11336
Laine de Yokaï Givrefoux;2;11339
Malléole de Yomi Givrefoux;2;11880
Oreille percée du Fricochère;2;11247
Oreille de Kaniglou;2;11248
Cuir du Sanglacier;2;11243
Rune Ra Pi Per;2;
Rune Ra Pui;2;10619
Tête de mort;2;15444
Kamatrix;2;15182
Slip d'Elsoummo;2;15462
Sacoche de Kartouche;2;15459
Foulard de Milimaître;2;15458
Os de Sramouraï;2;15460
Bandelette de Tromblion;2;15461
Dent de Chakaroze;2;17619
Pixel de Brikablak;2;15730
Pixel d'Éklatleth;2;15731
Pixel de Farfacette;2;15729
Pixel de Gromorso;2;15728
Relique de Gourlo le Terrible;2;8672
Carapace du Mantiscore;2;18371
Parchemin de Cactana;2;18359
Fleur de Cactiflore;2;18361
Moustaches de Cactoblongo;2;18362
Maraca de Lévito;2;18358
String de Pampactus;2;18363
Dent de Cycloporth;2;18562
Patte de Masticroc;2;18564
Langue de Morsquale;2;18563
Peau de Trémorse;2;18565
Écaille de Grasmera;2;14265
Écaille de Grozilla;2;14263
Boue Mature;2;12430
Flaque Mature;2;12442
Cendres Matures;2;12438
Poudre Mature;2;12434
Fumée Mature;2;12446
Peau de Koalak Immature;2;8050
Boomerang du Warko Marron;2;8077
Patte de la Gardienne des Égouts;2;13341
Oeil de Rat Masseur;2;
Queue de Rat Pine;2;
Poil de Rat Brâkmarien;2;8571
Fibre de Chanvre;2;426
Faux Visage de Choudini;2;1691
Pommeau d'Epée;2;
Scalp de Meulou;2;
Étoffe du Mulou;2;651
Poils de Kitsou Nufeu;2;
Groin de Dragon Cochon;2;2645
Poils de Moon;2;
Peau de Moon;2;8383
Barbe du Chouque;2;2621
Rembourrage de Meupette;2;8790
Carpelle de Brouture;2;8779
Graine de l'Abrakleur sombre;2;8785
Bractée de Chiendent;2;8782
Calice de Fécorce;2;8781
Étamine de Floribonde;2;8778
Sépale de Nerbe;2;8780
Racine d'Abraknyde Ancestral;2;8496
Ambre Ancestral;2;
Écorce d'Abraknyde Ancestral;2;
Bois Envoûté;2;
Patte d'Abrakne Irascible;2;16159
Doigt de Branche Invocatrice;2;16161
Feuille de Branche Soignante;2;13529
Plume du Timansot;1;11223
Laine de Boufmouth;1;11117
Corne de Boufmouth de guerre;1;11122
Oreille de Bouftonmouth;1;11119
Poil de Chachachovage;0,5;11250
Pince de Crabe Hijacob;0,333;11254
Plume de Gélikan;0,5;11257
Étoffe de Rat Bougri;0,5;11253
Queue d'Ecumouth;1;11238
Poil de Smilomouth;1;
Rune Age;0,091;1524
Rune Cha;0,091;1525
Rune de chasse;0,091;10057
Rune Do;1;7435
Rune Do Air;1;11663
Rune Do Cri;1;11653
Rune Do Eau;1;11661
Rune Do Feu;1;11659
Rune Do Neutre;1;11665
Rune Do Per Ar;1;18721
Rune Do Per Di;1;18720
Rune Do Per Mé;1;18719
Rune Do Per So;1;18722
Rune Do Pou;1;11649
Rune Do Ren;1;7437
Rune Do Terre;1;11657
Rune Fo;0,091;1519
Rune Fui;1;11637
Rune Ine;0,091;1522
Rune Ini;0,091;7448
Rune Pa Age;0,25;1549
Rune Pa Cha;0,25;1550
Rune Pa Fo;0,25;1545
Rune Pa Ine;0,25;1547
Rune Pa Ini;0,25;7449
Rune Pa Pi Per;1;
Rune Pa Pod;0,25;7444
Rune Pa Prospe;1;10662
Rune Pa Pui;#DIV/0!;
Rune Pa Ré Air;0,333;19338
Rune Pa Ré Cri;1;11656
Rune Pa Ré Eau;0,333;19339
Rune Pa Ré Feu;0,333;19340
Rune Pa Ré Neutre;0,333;19341
Rune Pa Ré Pou;1;11652
Rune Pa Ré Terre;0,333;19342
Rune Pa Sa;1;1546
Rune Pa Vi;0,25;1548
Rune Pi;1;
Rune Pi Per;0,333;
Rune Pod;0,091;7443
Rune Prospe;0,5;7451
Rune Pui;0,333;7436
Rune Ra Age;1;1555
Rune Ra Cha;1;1556
Rune Ra Fo;1;1551
Rune Ra Ine;1;1553
Rune Ra Ini;1;7450
Rune Ra Pod;1;7445
Rune Ra Vi;1;1554
Rune Ré Air;0,333;7453
Rune Ré Cri;0,333;11655
Rune Ré Eau;0,333;7454
Rune Ré Feu;0,333;7452
Rune Ré Neutre;0,333;7456
Rune Ré Per Di;1;18724
Rune Ré Per Mé;1;18723
Rune Ré Pou;0,333;11651
Rune Ré Terre;0,333;7455
Rune Sa;0,5;1521
Rune Tac;1;11639
Rune Vi;0,091;1523
Pépite;1,25;14635
Rose des sables;1,25;15263
Palpe de Pikbul;1;17611
Peau de Gériatique;1;17612
Épine de Grath;1;17613
Oeil de Morcac;1;17610
Patte de Pupuce;1;17609
Jeton du Chazino du Grand Jeu;1;17713
Corne de Berserkoffre;1;15168
Corde de Boursoin;1;15165
Langue de Mimikado;1;15166
Moustache précieuse;1;15169
Antenne de Trésantène;1;15167
Jeton du Chazino Matougarous;1;
Pixel de Segmantid;1;15732
Relique du Corailleur Magistral;1;8671
Boule de Boulépique;1;18367
Queue de Fennex;1;18370
Oeil de Léolhyène;1;18411
Écailles d'Ouroboulos;1;18368
Queue de Scordion Bleu;1;18369
Rune de Signature;1;7508
Plume de Piou Bleu;0,001;6897
Plume de Piou Jaune;0,001;6902
Plume de Piou Rose;0,001;6903
Plume de Piou Rouge;0,001;6900
Plume de Piou Vert;0,001;6899
Plume de Piou Violet;0,001;6898
Graine de Sésame;#VALEUR!;
Boue Juvénile;0,125;12428
Jaune d'Oeuf de Krokille;1;12448
Flaque Juvénile;0,125;12440
Cendres Juvéniles;0,125;12436
Poudre Juvénile;0,125;12432
Fumée Juvénile;0,125;12444
Boue Novice;0,5;12429
Flaque Novice;0,5;12441
Cendres Novices;0,5;12437
Poudre Novice;0,5;12433
Fumée Novice;0,5;12445
Patte de Bouledogre;1;14510
Plume de Gobvious;1;14512
Dent de Molette;1;14514
Oreille de Rhinoféroce;1;14516
Serrure du Coffre des Forgerons;1;13140
Sceau Royal Contrefait;0,25;13339
Pièce du Trésor du Badoul;1;276
Sac à Patates Sombre;0,5;1684
Pièce du Puzzle de la Griffe;1;274
Sac à Patates Clair;0,5;1683
Tatouage de Mauvais Garçon;0,25;13342
Graine de la Discorde;0,125;13730
Chaînes Brisées;0,167;14278
Bougie du Mineur Sombre;0,25;2274
Bourse Suspecte;0,077;13505
Pic de Dragodinde;0,143;
Lait de Dragodinde;0,25;
Aile de Dragodinde;0,5;2588
Queue de Dragodinde;1;
Aile de Dragodinde Dorée;0,5;13488
Pic de Dragodinde Dorée;0,5;
Dent de Dragodinde;0,5;2179
Pic de Dragodinde Rousse Sauvage;0,167;
Sueur de dragodinde;0,1;10970
Queue de Dragodinde Rousse Sauvage;1;
Feuille de Kaliptus;0,02;
Fleur de Kaliptus;0,02;7904
Étoffe de Dok Alako;0,2;8002
Pierre Médicinale;0,2;13731
Boomerang du Dok Alako;1;8075
Peau de Drakoalak;1;8054
Crâne d'Aventurier;1;13495
Tibia de Koalak Fossoyeur;1;8057
Poils de Guerrier Koalak;1;13697
Poils de Koalak Coco;1;8060
Foulard de Koalak Farouche;1;13699
Poils de Koalak Forestier;1;8085
Poils de Koalak Griotte;1;8059
Poils de Koalak Indigo;1;8062
Poils de Koalak Reinette;1;8061
Houpette de Koalak Sanguin;1;13698
Peau de Maître Koalak;1;8052
Cubitus de Momie Koalak;1;8058
Os de Pékeualak;1;8083
Peau de Piralak;1;8084
Couche usagée de Warko Violet;1;13700
Laine du Boufcoul;0,333;7905
Cuir du Boufcoul;0,333;
Corne du Boufcoul;0,333;7906
Boomerang Abîmé de Diamantine;1;13705
Dédicace de Skeunk pour Émeraude;1;13702
Touffe de Poils de Rubise;1;13704
Épingle à Cheveux de Saphira;1;13703
Oeil d'Arakmuté;0,067;2491
Peau Égrotante;0,5;1681
Intestin d'araknosé;0,067;373
Bec du Tofu;0,067;366
Puces Sauteuses;1;
Bave Empoisonnée;1;
Oreille de Guerrier Mental;0,143;2497
Peau de Rat;1;8482
Crocs de Rats;0,125;2322
Rondelles de Milirat Strubien;1;2467
Peau de Ramane d'Égoutant;0,143;8483
Peau de Rat;1;8482
Laine de Ramane Strubien;0,111;881
