id;libelle;xp;source
313;Or;0.22;Dofous
313;Or;0.164925;Dofus2
315;Diamant;3.176;Dofous
315;Diamant;2.5614;Dofus2
316;Émeraude;5.703;Dofous
316;Émeraude;4.509;Dofus2
350;Argent;0.17;Dofous
350;Argent;0.1275;Dofus2
360;Oreilles du Tiwabbit;1.563;Dofous
360;Oreilles du Tiwabbit;1.1718;Dofus2
361;Cawotte;1.106;Dofous
361;Cawotte;0.6846;Dofus2
362;Peau de Larve Bleue;0.075;Dofous
362;Peau de Larve Bleue;0.056175;Dofus2
363;Peau de Larve Orange;0.075;Dofous
363;Peau de Larve Orange;0.056175;Dofus2
364;Peau de Larve Verte;0.075;Dofous
364;Peau de Larve Verte;0.056175;Dofus2
365;Patte d'Arakne;0.074;Dofous
365;Patte d'Arakne;0.067125;Dofus2
366;Bec du Tofu;0.066666667;DPLN_2025
366;Bec du Tofu;0.067;DPLN_2026
366;Bec du Tofu;0.059;Dofous
366;Bec du Tofu;0.04395;Dofus2
367;Œuf de Tofu;0.176;Dofous
368;Gelée à la Fraise;0.305;Dofous
368;Gelée à la Fraise;0.22875;Dofus2
369;Gelée à la Menthe;0.284;Dofous
369;Gelée à la Menthe;0.213;Dofus2
370;Gelée Bleuet Royale;2.228;Dofous
370;Gelée Bleuet Royale;1.67115;Dofus2
371;Sourcil de Moskito;0.364;Dofous
371;Sourcil de Moskito;0.545325;Dofus2
372;Bandeau du Black Tiwabbit;0.272;Dofous
372;Bandeau du Black Tiwabbit;0.204375;Dofus2
373;Intestin d'araknosé;0.066666667;DPLN_2025
373;Intestin d'Araknosé;0.067;DPLN_2026
373;Intestin d'Araknosé;0.059;Dofous
373;Intestin d'Araknosé;0.04395;Dofus2
374;Langue d'Épouvanteur;0.072;Dofous
374;Langue d'Épouvanteur;0.0537;Dofus2
375;Dent de Tofu Mutant;0.176;Dofous
375;Dent de Tofu Mutant;0.132;Dofus2
376;Aile du Tofu Maléfique;0.105;Dofous
376;Aile du Tofu Maléfique;0.07635;Dofus2
377;Épine du Champ Champ;0.075;Dofous
377;Épine du Champ Champ;0.067125;Dofus2
378;Sporme du Champ Champ;0.448;Dofous
378;Sporme du Champ Champ;0.6717;Dofus2
379;Pince de Crabe;0.272;Dofous
379;Pince de Crabe;0.204375;Dofus2
380;Menthe Sauvage;0.1;Dofous
380;Menthe Sauvage;0.074925;Dofus2
381;Fraise;0.429;Dofous
381;Fraise;0.321975;Dofus2
382;Longue-vue de Gob-Trotteur;0.206;Dofous
382;Longue-vue de Gob-Trotteur;0.15435;Dofus2
383;Corne de Boufton;0.1;Dofous
383;Corne de Boufton;0.0747;Dofus2
384;Laine de Bouftou;0.075;Dofous
384;Laine de Bouftou;0.056475;Dofus2
385;Bave de Bouftou;0.041;Dofous
385;Bave de Bouftou;0.03075;Dofus2
387;Défense du Sanglier;0.102;Dofous
387;Défense du Sanglier;0.076125;Dofus2
388;Poils d'Arakne Malade;0.059;Dofous
388;Poils d'Arakne Malade;0.04395;Dofus2
389;Huile de Tournesol Sauvage;1.075;Dofous
389;Huile de Tournesol Sauvage;0.806025;Dofus2
390;Huile de Noix;3.449;Dofous
390;Huile de Noix;2.586375;Dofus2
391;Noix de Cajou;0.015384615;DPLN_2025
391;Noix de Cajou;0.015;DPLN_2026
391;Noix de Cajou;0.161;Dofous
391;Noix de Cajou;0.120825;Dofus2
392;Noix de Pécan;0.047619048;DPLN_2025
392;Noix de Pécan;0.048;DPLN_2026
392;Noix de Pécan;0.299;Dofous
392;Noix de Pécan;0.22395;Dofus2
393;Gland;0.111;Dofous
393;Gland;0.083175;Dofus2
394;Noisette;0.111;Dofous
394;Noisette;0.07455;Dofus2
395;Trèfle à 5 feuilles;0.07;Dofous
395;Trèfle à 5 feuilles;0.0525;Dofus2
396;Huile de Palme;15.567;Dofous
396;Huile de Palme;1.839675;Dofus2
397;Huile de Koode;5.002;Dofous
397;Huile de Koode;3.75105;Dofus2
399;Huile de Sésame;1.199;Dofous
399;Huile de Sésame;0.4944;Dofus2
400;Orge;0.05;Dofous
400;Orge;0.037425;Dofus2
401;Houblon;0.1;Dofous
401;Houblon;0.074925;Dofus2
405;Malt;0.17;Dofous
405;Malt;0.1275;Dofus2
406;Estomac de Wo Wabbit;0.404;Dofous
406;Estomac de Wo Wabbit;1.784625;Dofus2
407;Pic de Prespic;0.111;Dofous
407;Pic de Prespic;0.083175;Dofus2
408;Dentier du Chafer d'Élite;1.627;Dofous
408;Dentier du Chafer d'Élite;1.2201;Dofus2
409;Poils de Barbe du Bwork Mage;0.019607843;DPLN_2025
409;Poils de Barbe du Bwork Mage;0.02;DPLN_2026
409;Poils de Barbe du Bwork Mage;0.248;Dofous
409;Poils de Barbe du Bwork Mage;0.185625;Dofus2
410;Livre du Bwork Mage;0.333333333;DPLN_2025
410;Livre du Bwork Mage;0.333;DPLN_2026
410;Livre du Bwork Mage;1.48;Dofous
410;Livre du Bwork Mage;1.11;Dofus2
411;Bec du Kwak de Glace;0.254;Dofous
411;Bec du Kwak de Glace;0.190275;Dofus2
412;Bec du Kwak de Flamme;0.254;Dofous
412;Bec du Kwak de Flamme;0.190275;Dofus2
413;Bec du Kwak de Vent;0.254;Dofous
413;Bec du Kwak de Vent;0.190275;Dofus2
414;Plume du Kwak de Glace;0.254;Dofous
414;Plume du Kwak de Glace;0.190275;Dofus2
415;Plume du Kwak de Flamme;0.254;Dofous
415;Plume du Kwak de Flamme;0.190275;Dofus2
416;Plume du Kwak de Vent;0.254;Dofous
416;Plume du Kwak de Vent;0.190275;Dofus2
417;Boue du Boo;0.116;Dofous
417;Boue du Boo;0.086925;Dofus2
418;Poils de Barbe du Grand Pa Wabbit;0.395;Dofous
418;Poils de Barbe du Grand Pa Wabbit;0.2964;Dofus2
419;Oreille du Grand Pa Wabbit;2.392;Dofous
419;Oreille du Grand Pa Wabbit;0.2964;Dofus2
420;Ficelle en Lin;0.005181347;DPLN_2025
420;Ficelle en Lin;0.005;DPLN_2026
420;Ficelle en Lin;0.18;Dofous
420;Ficelle en Lin;0.135;Dofus2
421;Ortie;0.03;Dofous
421;Ortie;0.0225;Dofus2
423;Lin;0.12;Dofous
423;Lin;0.09;Dofus2
424;Fibre criminelle;3.354;Dofous
424;Fibre criminelle;2.515125;Dofus2
425;Chanvre;0.2;Dofous
425;Chanvre;0.149925;Dofus2
426;Fibre de Chanvre;2.0;DPLN_2025
426;Fibre de Chanvre;2.0;DPLN_2026
426;Fibre de Chanvre;56.207;Dofous
426;Fibre de Chanvre;6.9432;Dofus2
428;Sauge;0.05;Dofous
428;Sauge;0.037425;Dofus2
429;Miséricorde du Chafer d'Élite;0.272;Dofous
429;Miséricorde du Chafer d'Élite;0.204375;Dofus2
430;Os Invisible du Chafer Invisible;0.144;Dofous
430;Os Invisible du Chafer Invisible;0.511725;Dofus2
431;Pierre du Craqueleur;0.142857143;DPLN_2025
431;Pierre du Craqueleur;0.143;DPLN_2026
431;Pierre du Craqueleur;0.41;Dofous
431;Pierre du Craqueleur;0.3252;Dofus2
432;Côtes du Rib;0.183;Dofous
432;Côtes du Rib;0.13695;Dofus2
433;Fémur du Chafer Archer;1.627;Dofous
433;Fémur du Chafer Archer;1.2201;Dofus2
435;Racine d'Abraknyde;0.032258065;DPLN_2025
435;Racine d'Abraknyde;0.032;DPLN_2026
435;Racine d'Abraknyde;0.291;Dofous
435;Racine d'Abraknyde;0.22695;Dofus2
438;Queue du Mulou;0.25;DPLN_2025
438;Queue du Mulou;0.25;DPLN_2026
438;Queue du Mulou;1.121;Dofous
438;Queue du Mulou;0.84075;Dofus2
439;Canine de Mergranlou;0.5;DPLN_2025
439;Canine de Mergranlou;0.5;DPLN_2026
439;Canine de Mergranlou;1.349;Dofous
439;Canine de Mergranlou;1.01205;Dofus2
440;Griffe de Muloubard;0.5;DPLN_2025
440;Griffe de Muloubard;0.5;DPLN_2026
440;Griffe de Muloubard;1.349;Dofous
440;Griffe de Muloubard;1.01205;Dofus2
441;Cuivre;0.05;Dofous
441;Cuivre;0.037425;Dofus2
442;Bronze;0.07;Dofous
442;Bronze;0.0525;Dofus2
443;Kobalte;0.1;Dofous
443;Kobalte;0.074925;Dofus2
444;Étain;0.15;Dofous
444;Étain;0.112425;Dofus2
445;Manganèse;0.12;Dofous
445;Manganèse;0.09;Dofus2
446;Bauxite;0.2;Dofous
446;Bauxite;0.149925;Dofus2
447;Charbon;0.1;DPLN_2025
447;Charbon;0.1;DPLN_2026
447;Charbon;0.656;Dofous
447;Charbon;0.466275;Dofus2
448;Silex;0.142857143;DPLN_2025
448;Silex;0.143;DPLN_2026
448;Silex;0.499;Dofous
448;Silex;0.5157;Dofus2
449;Bois d'Ébène;0.2;Dofous
449;Bois d'Ébène;0.149925;Dofus2
450;Pierre de Granit;0.81;DPLN_2025
450;Pierre de Granit;0.809;Dofous
450;Pierre de Granit;0.606375;Dofus2
460;Bois de Chêne;0.1;Dofous
460;Bois de Chêne;0.074925;Dofus2
461;Bois d'If;0.15;Dofous
461;Bois d'If;0.112425;Dofus2
463;Ambre;0.033333333;DPLN_2025
463;Ambre;0.033;DPLN_2026
463;Ambre;0.388;Dofous
463;Ambre;0.2511;Dofus2
464;Ambre d'Abraknyde;0.25;DPLN_2025
464;Ambre d'Abraknyde;0.25;DPLN_2026
464;Ambre d'Abraknyde;2.081;Dofous
464;Ambre d'Abraknyde;1.7268;Dofus2
465;Cristal;8.087;Dofous
465;Cristal;6.70875;Dofus2
466;Saphir;7.086;Dofous
466;Saphir;6.3078;Dofus2
467;Rubis;5.481;Dofous
467;Rubis;4.3122;Dofus2
470;Bois d'Orme;0.25;Dofous
470;Bois d'Orme;0.1875;Dofus2
471;Bois d'Érable;0.12;Dofous
471;Bois d'Érable;0.09;Dofus2
472;Bois de Charme;0.22;Dofous
472;Bois de Charme;0.164925;Dofus2
473;Bois de Châtaignier;0.05;Dofous
473;Bois de Châtaignier;0.037425;Dofus2
474;Bois de Merisier;0.17;Dofous
474;Bois de Merisier;0.1275;Dofus2
476;Bois de Noyer;0.07;Dofous
476;Bois de Noyer;0.0525;Dofus2
479;Ivoire;0.045454545;DPLN_2025
479;Ivoire;0.045;DPLN_2026
479;Ivoire;5.091;Dofous
479;Ivoire;0.458625;Dofus2
480;Minerai Étrange;2.418;Dofous
480;Minerai Étrange;1.813125;Dofus2
485;Slip en cuir du Chafer Lancier;0.272;Dofous
485;Slip en cuir du Chafer Lancier;0.204375;Dofus2
486;Cuir de Gargrouille;0.162;Dofous
486;Cuir de Gargrouille;0.132;Dofus2
519;Poudre de Perlinpainpain;0.049;Dofous
519;Poudre de Perlinpainpain;0.037725;Dofus2
532;Seigle;0.15;Dofous
532;Seigle;0.112425;Dofus2
533;Avoine;0.07;Dofous
533;Avoine;0.0525;Dofus2
543;Pierre de Diamant;0.55;Dofous
543;Pierre de Diamant;0.452325;Dofus2
544;Pierre d'Émeraude;0.834;Dofous
544;Pierre d'Émeraude;0.663825;Dofus2
545;Pierre de Cristal;1.641;Dofous
545;Pierre de Cristal;1.374;Dofus2
546;Pierre de Saphir;2.128;Dofous
546;Pierre de Saphir;1.92735;Dofus2
547;Pierre de Rubis;1.593;Dofous
547;Pierre de Rubis;1.2621;Dofus2
593;Orchidée Freyesque;0.12;Dofous
593;Orchidée Freyesque;0.09;Dofus2
594;Edelweiss;0.15;Dofous
594;Edelweiss;0.112425;Dofus2
598;Greuvette;0.04;Dofous
598;Greuvette;0.03;Dofus2
600;Kralamoure;0.14;Dofous
600;Kralamoure;0.105;Dofus2
602;Requin Marteau-Faucille;0.21;Dofous
602;Requin Marteau-Faucille;0.157425;Dofus2
603;Poisson-Chaton;0.07;Dofous
603;Poisson-Chaton;0.0525;Dofus2
641;Coton Ancestral;0.428;Dofous
641;Coton Ancestral;0.32115;Dofus2
642;Cocon de Ver à Soie;1.064;Dofous
642;Cocon de Ver à Soie;0.797925;Dofus2
643;Fil de Soie;0.446;Dofous
643;Fil de Soie;0.33435;Dofus2
646;Poils de Black Tiwabbit;1.627;Dofous
646;Poils de Black Tiwabbit;1.2201;Dofus2
648;Aile de Bourdard;0.395;Dofous
648;Aile de Bourdard;0.2964;Dofus2
649;Poils de Wo Wabbit;2.38;Dofous
649;Poils de Wo Wabbit;1.784625;Dofus2
650;Duvet de Bourdard;2.367;Dofous
650;Duvet de Bourdard;1.775325;Dofus2
651;Étoffe du Mulou;2.0;DPLN_2025
651;Étoffe du Mulou;2.0;DPLN_2026
651;Étoffe du Mulou;7.497;Dofous
651;Étoffe du Mulou;5.622675;Dofus2
652;Étoffe du Sanglier;0.609;Dofous
652;Étoffe du Sanglier;0.456375;Dofus2
653;Étoffe d'Écurouille;0.665;Dofous
653;Étoffe d'Écurouille;0.498825;Dofus2
654;Étoffe du Wabbit;1.761;Dofous
654;Étoffe du Wabbit;1.320975;Dofus2
746;Ebonite;1.6875;Dofus2
747;Aluminite;1.2;Dofous
747;Aluminite;0.899925;Dofus2
748;Magnésite;3.75;Dofous
748;Magnésite;2.812425;Dofus2
749;Bakélélite;5.1;Dofous
749;Bakélélite;3.824925;Dofus2
750;Kouartz;6.6;Dofous
750;Kouartz;4.949925;Dofus2
752;Sang de Vampire;0.123;Dofous
752;Sang de Vampire;0.08565;Dofus2
756;Slip en Cuir Moulant du Garglyphe;1.064;Dofous
756;Slip en Cuir Moulant du Garglyphe;0.797925;Dofus2
757;Gelée Bleuet;0.267;Dofous
757;Gelée Bleuet;0.2001;Dofus2
761;Poils de souris;0.25;Dofous
792;Muqueuse de Moumoule;1.627;Dofous
792;Muqueuse de Moumoule;1.2201;Dofus2
838;Manuel du Directeur Grunob;1.094;Dofous
838;Manuel du Directeur Grunob;0.820275;Dofus2
840;Poils du Minotoror;4.0;DPLN_2025
840;Poils du Minotoror;4.0;DPLN_2026
840;Poils du Minotoror;8.187;Dofous
840;Poils du Minotoror;6.1401;Dofus2
842;Coquille de Dragoeuf Argile;0.628;Dofous
842;Coquille de Dragoeuf Argile;0.470925;Dofus2
843;Coquille de Dragoeuf Charbon;0.628;Dofous
843;Coquille de Dragoeuf Charbon;0.470925;Dofus2
844;Œuf de Dragoeuf Ardoise;4.127;Dofous
845;Œuf de Dragoeuf Argile;4.127;Dofous
846;Œuf de Dragoeuf Charbon;4.127;Dofous
847;Œuf de Dragoeuf Calcaire;4.68;Dofous
880;Laine de Bouftou Royal;3.977;Dofous
880;Laine de Bouftou Royal;2.78655;Dofus2
881;Laine de Ramane Strubien;0.111111111;DPLN_2025
881;Laine de Ramane Strubien;0.111;DPLN_2026
881;Laine de Ramane Strubien;0.097;Dofous
881;Laine de Ramane Strubien;0.07275;Dofus2
882;Laine du Chef de Guerre Bouftou;0.124;Dofous
882;Laine du Chef de Guerre Bouftou;0.0933;Dofus2
883;Cuir de Boostache Prépubère;0.162;Dofous
883;Cuir de Boostache Prépubère;0.132;Dofus2
884;Cuir de Bouftou Noir;0.104;Dofous
884;Cuir de Bouftou Noir;0.078;Dofus2
885;Laine de Boufton Noir;0.109;Dofous
885;Laine de Boufton Noir;0.081825;Dofus2
886;Cuir de Bouftou Royal;0.619;Dofous
886;Cuir de Bouftou Royal;0.46455;Dofus2
887;Cuir de Ouassingue;0.1;DPLN_2025
887;Cuir de Ouassingue;0.1;DPLN_2026
887;Cuir de Ouassingue;0.176;Dofous
887;Cuir de Ouassingue;0.132;Dofus2
901;Cuir du Cochon de Lait;0.166;Dofous
901;Cuir du Cochon de Lait;0.124125;Dofus2
929;Kristalite;16.0;DPLN_2025
929;Kristalite;16.0;DPLN_2026
929;Kristalite;52.171;Dofous
929;Kristalite;39.1281;Dofus2
961;Morceau de clef du Matin Pewlant;4.1;Dofous
961;Morceau de clef du Matin Pewlant;12.812475;Dofus2
962;Morceau de clef du Midi Wayonnant;4.1;Dofous
962;Morceau de clef du Midi Wayonnant;12.812475;Dofus2
963;Morceau de clef du Soiw Woulant;4.1;Dofous
963;Morceau de clef du Soiw Woulant;12.812475;Dofus2
965;Pierre de Dopeul;4.113;Dofous
965;Pierre de Dopeul;3.084525;Dofus2
997;Noix de Kokoko;1.0;DPLN_2025
997;Noix de Kokoko;1.0;DPLN_2026
997;Noix de Kokoko;1.866;Dofous
997;Noix de Kokoko;1.3992;Dofus2
998;Caleçon Mignon du Pirate;0.5;DPLN_2025
998;Caleçon Mignon du Pirate;0.5;DPLN_2026
998;Caleçon Mignon du Pirate;1.103;Dofous
998;Caleçon Mignon du Pirate;0.826875;Dofus2
1002;Tronc de Kokoko;0.166666667;DPLN_2025
1002;Tronc de Kokoko;0.167;DPLN_2026
1002;Tronc de Kokoko;0.313;Dofous
1002;Tronc de Kokoko;0.234375;Dofus2
1010;Carapace Verte;0.167;DPLN_2026
1010;Carapace Verte;0.313;Dofous
1011;Carapace Jaune;0.167;DPLN_2026
1011;Carapace Jaune;0.313;Dofous
1012;Carapace Rouge;0.167;DPLN_2026
1012;Carapace Rouge;0.313;Dofous
1013;Carapace Bleue;0.167;DPLN_2026
1013;Carapace Bleue;0.313;Dofous
1018;Kole;4.0;DPLN_2025
1018;Kole;4.0;DPLN_2026
1018;Kole;6.546;Dofous
1018;Kole;4.909575;Dofus2
1129;Coquille de Dragoeuf Ardoise;0.628;Dofous
1129;Coquille de Dragoeuf Ardoise;0.470925;Dofus2
1141;Plume du Kwak de Terre;0.254;Dofous
1141;Plume du Kwak de Terre;0.190275;Dofus2
1142;Bec du Kwak de Terre;0.254;Dofous
1142;Bec du Kwak de Terre;0.190275;Dofus2
1333;Potion d'Étincelle;161.836;Dofous
1333;Potion d'Étincelle;8.876775;Dofus2
1335;Potion de Crachin;161.836;Dofous
1335;Potion de Crachin;8.876775;Dofus2
1337;Potion de Courant d'Air;161.836;Dofous
1337;Potion de Courant d'Air;8.876775;Dofus2
1338;Potion de Secousse;161.836;Dofous
1338;Potion de Secousse;8.876775;Dofus2
1340;Potion d'Éboulement;7.74825;Dofus2
1341;Potion d'Averse;7.74825;Dofus2
1342;Potion de Rafale;7.74825;Dofus2
1343;Potion de Flambée;7.74825;Dofus2
1345;Potion d'Incendie;502.11;Dofous
1345;Potion d'Incendie;39.082725;Dofus2
1346;Potion de Tsunami;502.11;Dofous
1346;Potion de Tsunami;39.082725;Dofus2
1347;Potion d'Ouragan;502.11;Dofous
1347;Potion d'Ouragan;39.082725;Dofus2
1348;Potion de Séisme;507.775;Dofous
1348;Potion de Séisme;43.3314;Dofus2
1455;Ailes de Scarafeuille Bleu;0.214;Dofous
1455;Ailes de Scarafeuille Bleu;0.1602;Dofus2
1456;Ailes de Scarafeuille Blanc;0.214;Dofous
1456;Ailes de Scarafeuille Blanc;0.1602;Dofus2
1457;Ailes de Scarafeuille Rouge;0.214;Dofous
1457;Ailes de Scarafeuille Rouge;0.1602;Dofus2
1458;Ailes de Scarafeuille Vert;0.214;Dofous
1458;Ailes de Scarafeuille Vert;0.1602;Dofus2
1461;Poison cinglant;8.362;Dofous
1461;Poison cinglant;6.2718;Dofus2
1462;Liquide vampiresque;0.584;Dofous
1462;Liquide vampiresque;0.41145;Dofus2
1463;Fiole à élément;2.32;Dofous
1463;Fiole à élément;1.740075;Dofus2
1519;Rune Fo;0.090909091;DPLN_2025
1519;Rune Fo;0.091;DPLN_2026
1519;Rune Fo;0.05;Dofous
1519;Rune Fo;0.074925;Dofus2
1521;Rune Sa;0.5;DPLN_2025
1521;Rune Sa;0.5;DPLN_2026
1521;Rune Sa;0.45;Dofous
1521;Rune Sa;0.675;Dofus2
1522;Rune Ine;0.090909091;DPLN_2025
1522;Rune Ine;0.091;DPLN_2026
1522;Rune Ine;0.05;Dofous
1522;Rune Ine;0.074925;Dofus2
1523;Rune Vi;0.090909091;DPLN_2025
1523;Rune Vi;0.091;DPLN_2026
1523;Rune Vi;0.05;Dofous
1523;Rune Vi;0.074925;Dofus2
1524;Rune Age;0.090909091;DPLN_2025
1524;Rune Age;0.091;DPLN_2026
1524;Rune Age;0.05;Dofous
1524;Rune Age;0.074925;Dofus2
1525;Rune Cha;0.090909091;DPLN_2025
1525;Rune Cha;0.091;DPLN_2026
1525;Rune Cha;0.05;Dofous
1525;Rune Cha;0.074925;Dofus2
1526;Métaria rouge;1.903;Dofous
1526;Métaria rouge;1.427325;Dofus2
1527;Métaria bleue;1.903;Dofous
1527;Métaria bleue;1.427325;Dofus2
1528;Métaria jaune;1.903;Dofous
1528;Métaria jaune;1.427325;Dofus2
1529;Métaria verte;1.903;Dofous
1529;Métaria verte;1.427325;Dofus2
1531;Métaria Triame bleue;8.104;Dofous
1531;Métaria Triame bleue;1.201575;Dofus2
1532;Métaria Triame verte;8.104;Dofous
1532;Métaria Triame verte;1.201575;Dofus2
1533;Métaria Triame rouge;8.104;Dofous
1533;Métaria Triame rouge;1.201575;Dofus2
1534;Métaria Triame jaune;8.104;Dofous
1534;Métaria Triame jaune;1.201575;Dofus2
1535;Métaria Mage rouge;9.958;Dofous
1535;Métaria Mage rouge;7.4685;Dofus2
1536;Métaria Mage bleue;9.958;Dofous
1536;Métaria Mage bleue;7.4685;Dofus2
1537;Métaria Mage verte;9.958;Dofous
1537;Métaria Mage verte;7.4685;Dofus2
1538;Métaria Mage jaune;11.091;Dofous
1538;Métaria Mage jaune;8.31825;Dofus2
1545;Rune Pa Fo;0.25;DPLN_2025
1545;Rune Pa Fo;0.25;DPLN_2026
1545;Rune Pa Fo;0.225;Dofous
1545;Rune Pa Fo;0.337425;Dofus2
1546;Rune Pa Sa;1.0;DPLN_2025
1546;Rune Pa Sa;1.0;DPLN_2026
1546;Rune Pa Sa;2.025;Dofous
1546;Rune Pa Sa;3.0375;Dofus2
1547;Rune Pa Ine;0.25;DPLN_2025
1547;Rune Pa Ine;0.25;DPLN_2026
1547;Rune Pa Ine;0.225;Dofous
1547;Rune Pa Ine;0.337425;Dofus2
1548;Rune Pa Vi;0.25;DPLN_2025
1548;Rune Pa Vi;0.25;DPLN_2026
1548;Rune Pa Vi;0.225;Dofous
1548;Rune Pa Vi;0.337425;Dofus2
1549;Rune Pa Age;0.25;DPLN_2025
1549;Rune Pa Age;0.25;DPLN_2026
1549;Rune Pa Age;0.225;Dofous
1549;Rune Pa Age;0.337425;Dofus2
1550;Rune Pa Cha;0.25;DPLN_2025
1550;Rune Pa Cha;0.25;DPLN_2026
1550;Rune Pa Cha;0.225;Dofous
1550;Rune Pa Cha;0.337425;Dofus2
1551;Rune Ra Fo;1.0;DPLN_2025
1551;Rune Ra Fo;1.0;DPLN_2026
1551;Rune Ra Fo;0.675;Dofous
1551;Rune Ra Fo;1.012425;Dofus2
1552;Rune Ra Sa;4.0;DPLN_2025
1552;Rune Ra Sa;4.0;DPLN_2026
1552;Rune Ra Sa;6.075;Dofous
1552;Rune Ra Sa;9.1125;Dofus2
1553;Rune Ra Ine;1.0;DPLN_2025
1553;Rune Ra Ine;1.0;DPLN_2026
1553;Rune Ra Ine;0.675;Dofous
1553;Rune Ra Ine;1.012425;Dofus2
1554;Rune Ra Vi;1.0;DPLN_2025
1554;Rune Ra Vi;1.0;DPLN_2026
1554;Rune Ra Vi;0.675;Dofous
1554;Rune Ra Vi;1.012425;Dofus2
1555;Rune Ra Age;1.0;DPLN_2025
1555;Rune Ra Age;1.0;DPLN_2026
1555;Rune Ra Age;0.675;Dofous
1555;Rune Ra Age;1.012425;Dofus2
1556;Rune Ra Cha;1.0;DPLN_2025
1556;Rune Ra Cha;1.0;DPLN_2026
1556;Rune Ra Cha;0.675;Dofous
1556;Rune Ra Cha;1.012425;Dofus2
1557;Rune Ga Pa;500.0;DPLN_2025
1557;Rune Ga Pa;500.0;DPLN_2026
1557;Rune Ga Pa;500.0;Dofous
1557;Rune Ga Pa;750.0;Dofus2
1557;Rune Ga Pa;500.0;Tenma
1558;Rune Ga Pme;405.0;DPLN_2025
1558;Rune Ga Pme;405.0;DPLN_2026
1558;Rune Ga Pme;405.0;Dofous
1558;Rune Ga Pme;607.5;Dofus2
1558;Rune Ga Pme;405.0;Tenma
1568;Clef de la Cour du Bouftou Royal;2.254;Dofous
1568;Clef de la Cour du Bouftou Royal;1.5846;Dofus2
1569;Clef du Donjon des Forgerons;4.635;Dofous
1569;Clef du Donjon des Forgerons;2.649375;Dofus2
1570;Clef du Donjon des Squelettes;3.89;Dofous
1570;Clef du Donjon des Squelettes;3.177225;Dofus2
1610;Roue de Tivelo;0.5;DPLN_2025
1610;Roue de Tivelo;0.5;DPLN_2026
1610;Roue de Tivelo;1.012;Dofous
1610;Roue de Tivelo;0.759225;Dofus2
1611;Bourgeon de Pirolienne;0.5;DPLN_2025
1611;Bourgeon de Pirolienne;0.5;DPLN_2026
1611;Bourgeon de Pirolienne;1.012;Dofous
1611;Bourgeon de Pirolienne;0.759225;Dofus2
1612;Racine d'Abraknyde Sombre;0.5;DPLN_2025
1612;Racine d'Abraknyde Sombre;0.5;DPLN_2026
1612;Racine d'Abraknyde Sombre;0.844;Dofous
1612;Racine d'Abraknyde Sombre;0.633075;Dofus2
1613;Écaille de Chef Crocodaille;0.626;Dofous
1613;Écaille de Chef Crocodaille;0.469725;Dofus2
1614;Bombe de Graboule;0.5;DPLN_2025
1614;Bombe de Graboule;0.5;DPLN_2026
